param-n,fast-rewrite-regression-cubic-real,fast-rewrite-regression-cubic-sys,fast-rewrite-regression-cubic-user,pose-build-and-refine-regression-cubic-real,pose-build-and-refine-regression-cubic-sys,pose-build-and-refine-regression-cubic-user,refine-regression-quadratic-regression-linear-real,refine-regression-quadratic-regression-linear-sys,refine-regression-quadratic-regression-linear-user
110,0.044,0.,0.044,0.044,0.,0.044,0.001,0.,0.001
120,0.052,0.,0.052,0.052,0.,0.052,0.001,0.,0.001
130,0.082,0.,0.082,0.082,0.,0.082,0.001,0.,0.001
140,0.08,0.003,0.076,0.08,0.003,0.076,0.001,0.,0.001
150,0.08,0.,0.08,0.08,0.,0.08,0.001,0.,0.001
160,0.114,0.003,0.11,0.114,0.003,0.11,0.001,0.,0.001
170,0.118,0.003,0.114,0.118,0.003,0.114,0.003,0.,0.003
180,0.107,0.004,0.103,0.107,0.004,0.103,0.002,0.,0.002
190,0.132,0.007,0.124,0.132,0.007,0.124,0.002,0.,0.002
200,0.151,0.,0.151,0.151,0.,0.151,0.002,0.,0.002
210,0.15,0.,0.15,0.15,0.,0.15,0.002,0.,0.002
220,0.184,0.008,0.175,0.184,0.008,0.175,0.002,0.,0.002
230,0.196,0.003,0.192,0.196,0.003,0.192,0.002,0.,0.002
240,0.229,0.,0.229,0.229,0.,0.228,0.002,0.,0.002
250,0.233,0.003,0.23,0.233,0.003,0.23,0.002,0.,0.002
260,0.242,0.,0.242,0.242,0.,0.242,0.003,0.,0.003
270,0.222,0.011,0.21,0.222,0.011,0.21,0.002,0.,0.002
280,0.242,0.003,0.238,0.242,0.003,0.238,0.003,0.,0.003
290,0.265,0.,0.265,0.265,0.,0.265,0.004,0.,0.004
300,0.296,0.004,0.292,0.296,0.004,0.292,0.003,0.,0.003
310,0.337,0.,0.337,0.337,0.,0.337,0.003,0.,0.003
320,0.339,0.,0.339,0.339,0.,0.339,0.004,0.,0.004
330,0.338,0.003,0.334,0.338,0.003,0.334,0.003,0.,0.003
340,0.365,0.003,0.361,0.365,0.003,0.361,0.003,0.,0.003
350,0.383,0.011,0.371,0.383,0.011,0.371,0.004,0.,0.004
360,0.419,0.,0.419,0.419,0.,0.419,0.003,0.,0.003
370,0.462,0.,0.462,0.462,0.,0.462,0.004,0.,0.004
380,0.479,0.,0.479,0.479,0.,0.479,0.005,0.,0.005
390,0.486,0.,0.486,0.486,0.,0.486,0.004,0.,0.004
400,0.563,0.02,0.543,0.563,0.02,0.543,0.004,0.,0.004
410,0.579,0.,0.579,0.579,0.,0.579,0.004,0.,0.004
420,0.539,0.,0.539,0.539,0.,0.539,0.005,0.,0.005
430,0.559,0.,0.559,0.559,0.,0.559,0.005,0.,0.005
440,0.654,0.,0.654,0.654,0.,0.654,0.004,0.,0.004
450,0.617,0.007,0.609,0.617,0.007,0.609,0.005,0.,0.005
