Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.057 secs (0.057u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.015 secs (0.015u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.013 secs (0.013u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.004 secs (0.004u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.044 secs (0.04u,0.003s) (success)
Tactic call type-admit-regression-quadratic ran for 0.026 secs (0.026u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.028 secs (0.028u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.027 secs (0.027u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.027 secs (0.027u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.027 secs (0.027u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.037 secs (0.037u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.32 secs (0.316u,0.003s) (success)
Tactic call abstract-regression-quadratic ran for 0.386 secs (0.382u,0.003s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.065 secs (0.065u,0.s)
Params: n= 400
Tactic call build-thunk-regression-linear ran for 0.045 secs (0.045u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.045 secs (0.045u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.008 secs (0.008u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.007 secs (0.007u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
