param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
122,1,122,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
122,122,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
123,1,123,0.053,0.,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,1,0.057,0.,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,129,0.063,0.,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,1,0.057,0.,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,131,,,,,,,,,,,,,,,,,0.053,0.,0.053,,,,,,,,,,,,
131,131,1,,,,,,,,,,,,,,,,,0.029,0.,0.029,,,,,,,,,,,,
132,11,12,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
135,1,135,0.066,0.,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,1,0.042,0.,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,141,,,,,,,,,,,,,,,,,0.058,0.,0.058,,,,,,,,,,,,
141,141,1,,,,,,,,,,,,,,,,,0.036,0.,0.036,,,,,,,,,,,,
150,1,150,,,,,,,,,,0.07066,0.00018,0.00041,0.00039,0.071,0.001,0.,,,,0.,0.,0.,,,,,,,,,
150,150,1,,,,,,,,,,0.07130,0.00018,0.00041,0.00055,0.072,0.,0.002,,,,0.,0.,0.,,,,,,,,,
151,1,151,,,,,,,,,,,,,,,,,0.064,0.,0.064,,,,,,,,,,,,
151,151,1,,,,,,,,,,,,,,,,,0.033,0.,0.033,,,,,,,,,,,,
156,12,13,0.009,0.,0.009,,,,,,,0.07221,0.00017,0.00040,0.00060,0.073,0.,0.001,0.01,0.,0.01,0.,0.,0.,,,,,,,,,
157,1,157,0.079,0.,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,1,0.052,0.,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1,162,,,,,,,,,,,,,,,,,0.073,0.,0.073,,,,,,,,,,,,
162,162,1,,,,,,,,,,,,,,,,,0.045,0.,0.045,,,,,,,,,,,,
172,1,172,,,,,,,,,,,,,,,,,0.079,0.,0.079,,,,,,,,,,,,
172,172,1,,,,,,,,,,,,,,,,,0.039,0.,0.039,,,,,,,,,,,,
180,1,180,0.1,0.,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,1,0.065,0.,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1,181,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
181,181,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
182,1,182,,,,,,,,,,,,,,,,,0.087,0.,0.087,,,,,,,,,,,,
182,13,14,0.01,0.,0.01,0.,0.,0.,0.,0.,0.,0.07019,0.00033,0.00040,0.00064,0.071,0.,0.002,0.011,0.,0.011,0.,0.,0.,,,,,,,,,
182,182,1,,,,,,,,,,,,,,,,,0.042,0.,0.042,,,,,,,,,,,,
185,1,185,,,,,,,,,,0.07268,0.00018,0.00041,0.00048,0.073,0.001,0.001,,,,0.,0.,0.,,,,,,,,,
185,185,1,,,,,,,,,,0.07099,0.00018,0.00043,0.00079,0.072,0.,0.001,,,,0.001,0.,0.001,,,,,,,,,
193,1,193,,,,,,,,,,,,,,,,,0.1,0.,0.1,,,,,,,,,,,,
193,193,1,,,,,,,,,,,,,,,,,0.111,0.,0.111,,,,,,,,,,,,
202,1,202,0.185,0.,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,202,1,0.117,0.,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1,203,,,,,,,,,,,,,,,,,0.109,0.,0.109,,,,,,,,,,,,
203,203,1,,,,,,,,,,,,,,,,,0.059,0.,0.059,,,,,,,,,,,,
210,1,210,0.178,0.012,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,14,15,0.027,0.,0.027,,,,,,,0.07106,0.00020,0.00041,0.00073,0.072,0.,0.002,0.013,0.,0.013,0.,0.,0.,,,,,,,,,
210,210,1,0.092,0.,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,214,,,,,,,,,,,,,,,,,0.143,0.,0.142,,,,,,,,,,,,
214,214,1,,,,,,,,,,,,,,,,,0.061,0.,0.061,,,,,,,,,,,,
221,1,221,,,,,,,,,,0.07122,0.00017,0.00044,0.00069,0.072,0.,0.002,,,,0.,0.,0.,,,,,,,,,
221,221,1,,,,,,,,,,0.07039,0.00018,0.00041,0.00086,0.071,0.001,0.001,,,,0.001,0.,0.001,,,,,,,,,
224,1,224,0.171,0.,0.171,,,,,,,,,,,,,,0.127,0.,0.127,,,,,,,,,,,,
224,224,1,0.101,0.,0.1,,,,,,,,,,,,,,0.085,0.,0.085,,,,,,,,,,,,
234,1,234,,,,,,,,,,,,,,,,,0.137,0.,0.137,,,,,,,,,,,,
234,234,1,,,,,,,,,,,,,,,,,0.068,0.,0.068,,,,,,,,,,,,
239,1,239,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
239,239,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
240,15,16,0.014,0.,0.014,0.,0.,0.,0.,0.,0.,,,,,,,,0.015,0.,0.015,,,,,,,,,,,,
245,1,245,,,,,,,,,,,,,,,,,0.144,0.,0.144,,,,,,,,,,,,
245,245,1,,,,,,,,,,,,,,,,,0.071,0.,0.071,,,,,,,,,,,,
247,1,247,0.173,0.,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,247,1,0.105,0.,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1,255,,,,,,,,,,,,,,,,,0.158,0.,0.158,,,,,,,,,,,,
255,255,1,,,,,,,,,,,,,,,,,0.07,0.,0.07,,,,,,,,,,,,
257,1,257,,,,,,,,,,0.07024,0.00017,0.00042,0.03765,0.108,0.,0.038,,,,0.001,0.,0.001,,,,,,,,,
257,257,1,,,,,,,,,,0.07053,0.00018,0.00040,0.00088,0.072,0.001,0.001,,,,0.001,0.,0.001,,,,,,,,,
269,1,269,0.222,0.,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,269,1,0.151,0.,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,16,17,0.016,0.,0.016,,,,,,,0.07010,0.00018,0.00041,0.00071,0.071,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
291,1,291,,,,,,,,,,,,,,,,,0.193,0.,0.193,,,,,,,,,,,,
291,291,1,,,,,,,,,,,,,,,,,0.113,0.,0.113,,,,,,,,,,,,
293,1,293,,,,,,,,,,0.07000,0.00020,0.00041,0.00076,0.071,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
293,293,1,,,,,,,,,,0.07061,0.00017,0.00045,0.00100,0.072,0.001,0.,,,,0.001,0.,0.001,,,,,,,,,
297,1,297,,,,0.001,0.,0.001,0.001,0.001,0.,,,,,,,,,,,,,,,,,,,,,,
297,297,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
306,17,18,,,,0.,0.,0.,0.,0.,0.,0.07046,0.00034,0.00045,0.00096,0.072,0.,0.002,0.02,0.,0.02,0.001,0.,0.001,,,,,,,,,
307,1,307,,,,,,,,,,0.07046,0.00018,0.00041,0.00094,0.072,0.,0.002,,,,,,,,,,,,,,,
307,307,1,,,,,,,,,,0.07086,0.00018,0.00039,0.00119,0.072,0.,0.002,,,,,,,,,,,,,,,
328,1,328,,,,,,,,,,,,,,,,,0.251,0.001,0.25,,,,,,,,,,,,
328,328,1,,,,,,,,,,,,,,,,,0.193,0.,0.193,,,,,,,,,,,,
329,1,329,,,,,,,,,,0.07104,0.00017,0.00039,0.00084,0.072,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
329,329,1,,,,,,,,,,0.07052,0.00017,0.00040,0.00113,0.072,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
336,1,336,0.321,0.,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,336,1,0.204,0.,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,18,19,0.021,0.,0.021,0.,0.,0.,0.,0.,0.,0.07035,0.00018,0.00042,0.00088,0.071,0.,0.002,0.022,0.,0.022,0.001,0.,0.001,,,,,,,,,
355,1,355,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
355,355,1,,,,0.001,0.,0.,0.001,0.,0.,,,,,,,,,,,,,,,,,,,,,,
364,1,364,,,,,,,,,,,,,,,,,0.293,0.,0.292,,,,,,,,,,,,
364,364,1,,,,,,,,,,,,,,,,,0.168,0.,0.168,,,,,,,,,,,,
365,1,365,,,,,,,,,,0.07093,0.00018,0.00040,0.00092,0.072,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
365,365,1,,,,,,,,,,0.07084,0.00017,0.00045,0.00123,0.072,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
380,19,20,,,,,,,,,,0.07076,0.00017,0.00040,0.00101,0.072,0.,0.001,0.025,0.,0.025,0.001,0.,0.001,,,,,,,,,
400,1,400,,,,,,,,,,,,,,,,,0.354,0.,0.354,,,,,,,,,,,,
400,20,20,,,,,,,,,,,,,,,,,0.029,0.,0.029,,,,,,,,,,,,
400,400,1,,,,,,,,,,,,,,,,,0.211,0.,0.211,,,,,,,,,,,,
401,1,401,,,,,,,,,,0.07105,0.00019,0.00040,0.00101,0.072,0.,0.001,,,,0.001,0.,0.001,,,,,,,,,
401,401,1,,,,,,,,,,0.07123,0.00017,0.00040,0.00143,0.073,0.,0.001,,,,0.036,0.001,0.034,,,,,,,,,
402,1,402,,,,,,,,,,,,,,,,,0.421,0.006,0.414,,,,,,,,,,,,
402,402,1,,,,,,,,,,,,,,,,,0.242,0.001,0.241,,,,,,,,,,,,
404,1,404,0.465,0.,0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,404,1,0.344,0.001,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,1,413,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
413,413,1,,,,0.001,0.,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
414,1,414,0.493,0.,0.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,414,1,0.44,0.,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,20,21,0.026,0.,0.026,0.,0.,0.,0.,0.,0.,0.07071,0.00020,0.00043,0.00108,0.072,0.,0.002,0.028,0.,0.028,0.001,0.,0.001,,,,,,,,,
436,1,436,,,,,,,,,,,,,,,,,0.416,0.,0.416,,,,,,,,,,,,
