param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
72,0.091,0.,0.09,0.05,0.,0.05,0.013,0.,0.013,0.01,0.,0.01,0.076,0.,0.076,0.,0.,0.,0.038,0.,0.038,0.,0.,0.
73,0.098,0.003,0.094,0.052,0.,0.052,0.016,0.,0.016,0.01,0.,0.01,0.081,0.003,0.077,0.,0.,0.,0.04,0.,0.04,0.,0.,0.
74,0.096,0.,0.096,0.052,0.,0.052,0.013,0.,0.013,0.01,0.,0.01,0.081,0.,0.081,0.,0.,0.,0.04,0.,0.04,0.,0.,0.
75,0.105,0.,0.105,0.056,0.,0.056,0.013,0.,0.013,0.014,0.,0.014,0.09,0.,0.09,0.,0.,0.,0.04,0.,0.04,0.,0.,0.
76,0.116,0.003,0.111,0.054,0.,0.054,0.024,0.,0.024,0.01,0.,0.01,0.09,0.003,0.085,0.,0.,0.,0.042,0.,0.042,0.,0.,0.
77,0.101,0.,0.101,0.055,0.,0.055,0.017,0.,0.017,0.011,0.,0.011,0.082,0.,0.082,0.,0.,0.,0.042,0.,0.042,0.,0.,0.
78,0.105,0.,0.105,0.058,0.,0.058,0.018,0.,0.018,0.012,0.,0.012,0.085,0.,0.085,0.,0.,0.,0.044,0.,0.044,0.,0.,0.
79,0.113,0.,0.113,0.058,0.,0.058,0.019,0.,0.019,0.011,0.,0.011,0.092,0.,0.092,0.,0.,0.,0.046,0.,0.046,0.,0.,0.
80,0.118,0.,0.118,0.064,0.,0.064,0.018,0.,0.018,0.011,0.,0.011,0.098,0.,0.098,0.,0.,0.,0.052,0.,0.052,0.,0.,0.
81,0.111,0.,0.111,0.063,0.,0.063,0.018,0.,0.018,0.014,0.,0.014,0.091,0.,0.091,0.,0.,0.,0.047,0.,0.047,0.,0.,0.
82,0.12,0.,0.12,0.063,0.,0.063,0.019,0.,0.019,0.013,0.,0.013,0.098,0.,0.098,0.,0.,0.,0.049,0.,0.049,0.,0.,0.
83,0.122,0.,0.122,0.065,0.,0.065,0.02,0.,0.02,0.014,0.,0.014,0.1,0.,0.1,0.,0.,0.,0.049,0.,0.049,0.,0.,0.
84,0.127,0.,0.127,0.065,0.,0.065,0.022,0.,0.022,0.014,0.,0.014,0.103,0.,0.103,0.,0.,0.,0.05,0.,0.05,0.,0.,0.
85,0.13,0.,0.13,0.067,0.,0.067,0.021,0.,0.021,0.013,0.,0.013,0.106,0.,0.106,0.,0.,0.,0.051,0.,0.051,0.,0.,0.
86,0.135,0.,0.135,0.069,0.,0.069,0.023,0.,0.023,0.014,0.,0.014,0.111,0.,0.111,0.,0.,0.,0.052,0.,0.052,0.,0.,0.
87,0.131,0.003,0.127,0.07,0.,0.07,0.021,0.,0.021,0.015,0.,0.015,0.108,0.003,0.104,0.,0.,0.,0.053,0.,0.053,0.,0.,0.
88,0.137,0.004,0.133,0.073,0.,0.073,0.022,0.,0.022,0.015,0.,0.015,0.113,0.003,0.109,0.,0.,0.,0.055,0.,0.055,0.,0.,0.
89,0.143,0.,0.143,0.073,0.,0.073,0.019,0.,0.019,0.015,0.,0.015,0.121,0.,0.121,0.,0.,0.,0.056,0.,0.056,0.,0.,0.
90,0.154,0.,0.154,0.075,0.,0.075,0.023,0.,0.023,0.016,0.,0.016,0.129,0.,0.129,0.,0.,0.,0.057,0.,0.057,0.,0.,0.
91,0.149,0.003,0.145,0.076,0.,0.076,0.025,0.,0.025,0.015,0.,0.015,0.122,0.003,0.118,0.,0.,0.,0.059,0.,0.059,0.,0.,0.
