param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,rewrite!-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-real,setoid-rewrite-regression-cubic-real,ssr-rewrite!-regression-cubic-real
94,0,94,191,3,94,0.047,,,0.055,0.116,0.085
95,0,95,193,3,95,,,0.16,0.053,,
96,0,96,195,3,96,,,,0.056,,
96,1,32,199,7,96,,,0.153,0.046,0.098,
97,0,97,197,3,97,0.049,0.048,,0.055,0.124,0.096
98,0,98,199,3,98,,,,0.062,,
98,2,14,211,15,98,0.022,0.023,0.159,0.04,0.083,0.048
99,0,99,201,3,99,,,,0.059,,
99,1,33,205,7,99,0.035,0.034,,0.052,0.106,0.074
100,0,100,203,3,100,0.053,,,0.056,0.132,0.102
101,0,101,205,3,101,,,,0.06,,
102,0,102,207,3,102,,,,0.059,,
102,1,34,211,7,102,,,0.18,0.051,0.112,
103,0,103,209,3,103,0.053,0.052,,0.062,0.141,0.102
104,0,104,211,3,104,,,,0.062,,
105,0,105,213,3,105,,,,0.061,,
105,1,35,217,7,105,0.038,0.039,,0.056,0.115,0.077
105,2,15,225,15,105,0.025,0.024,,0.047,0.093,0.055
105,3,7,241,31,105,0.016,0.016,0.173,0.037,0.079,0.029
106,0,106,215,3,106,0.06,,,0.067,0.138,0.11
107,0,107,217,3,107,,,,0.064,,
108,0,108,219,3,108,,,,0.065,,
108,1,36,223,7,108,,,,0.055,0.12,
109,0,109,221,3,109,0.063,0.059,,0.071,0.147,0.116
110,0,110,223,3,110,,,,0.07,,
111,0,111,225,3,111,,,,0.069,,
111,1,37,229,7,111,0.043,0.043,,0.062,0.126,0.09
112,0,112,227,3,112,0.062,,,0.072,0.16,0.127
112,2,16,239,15,112,0.027,0.028,,0.047,0.106,0.06
113,0,113,229,3,113,,,,0.068,,
114,0,114,231,3,114,,,,0.077,,
114,1,38,235,7,114,,,,0.062,0.131,
115,0,115,233,3,115,0.068,0.07,,0.073,0.158,0.13
116,0,116,235,3,116,,,,0.078,,
117,0,117,237,3,117,,,,0.075,,
117,1,39,241,7,117,0.046,0.047,,0.076,0.135,0.096
118,0,118,239,3,118,0.07,,,0.073,0.175,0.136
119,0,119,241,3,119,,,,0.077,,
119,2,17,253,15,119,0.03,0.03,,0.056,0.116,0.07
120,0,120,243,3,120,,,,0.083,,
120,1,40,247,7,120,,,,0.071,0.143,
120,3,8,271,31,120,0.02,0.021,0.21,0.046,0.096,0.039
121,0,121,245,3,121,0.069,0.078,,0.084,0.172,0.15
122,0,122,247,3,122,,,,0.081,,
123,0,123,249,3,123,,,,0.081,,
123,1,41,253,7,123,0.052,0.051,,0.069,0.15,0.108
124,0,124,251,3,124,0.077,,,0.084,0.186,0.152
124,4,4,311,63,124,0.015,0.014,0.219,0.041,0.086,0.03
125,0,125,253,3,125,,,,0.104,,
126,0,126,255,3,126,,,,0.091,,
126,1,42,259,7,126,,,,0.08,0.154,
126,2,18,267,15,126,0.033,0.035,,0.059,0.129,0.078
126,5,2,379,127,126,0.012,0.011,,0.042,0.078,0.022
127,0,127,257,3,127,0.08,0.077,,0.095,0.191,0.155
127,6,1,509,255,127,0.012,0.008,0.144,0.048,0.077,0.016
128,0,128,259,3,128,,,,0.095,,
129,0,129,261,3,129,,,,0.097,0.189,
129,1,43,265,7,129,0.055,0.058,,0.082,0.161,0.117
130,0,130,263,3,130,0.081,,,0.127,,0.166
131,0,131,265,3,131,,,,0.108,,
132,0,132,267,3,132,,,,0.107,,
132,1,44,271,7,132,,,0.276,0.08,,
133,0,133,269,3,133,0.088,0.085,,0.107,,0.169
133,2,19,281,15,133,0.039,0.036,,0.065,0.139,0.08
134,0,134,271,3,134,,,,0.108,,
135,0,135,273,3,135,,,,0.112,,
135,1,45,277,7,135,0.059,0.063,,0.092,,0.129
135,3,9,301,31,135,0.024,0.024,0.264,0.055,0.117,0.049
136,0,136,275,3,136,0.094,,,0.112,,0.172
137,0,137,277,3,137,,,,0.113,,
138,0,138,279,3,138,,,,0.116,,
138,1,46,283,7,138,,,,0.101,,0.142
139,0,139,281,3,139,0.096,0.094,,0.106,,
140,0,140,283,3,140,,,,0.103,,
140,2,20,295,15,140,0.041,0.04,,0.07,,0.093
141,0,141,285,3,141,,,,0.108,,
141,1,47,289,7,141,0.065,0.064,,0.09,,
142,0,142,287,3,142,0.104,,,0.114,,
143,0,143,289,3,143,,,,0.116,,
144,0,144,291,3,144,,,,0.119,,
144,1,48,295,7,144,,,,0.095,,
145,0,145,293,3,145,0.099,0.102,,0.129,,
146,0,146,295,3,146,,,,0.127,,
147,0,147,297,3,147,,,,0.13,,
147,1,49,301,7,147,0.072,0.073,,0.096,,
147,2,21,309,15,147,0.046,0.043,,0.077,,
148,0,148,299,3,148,0.1,,,0.126,,
149,0,149,301,3,149,,,,0.124,,
