param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-topdown-real,rewrite-strat-bottomup-real,rewrite-strat-bottomup-noop-real,rewrite-strat-topdown-real,rewrite-strat-topdown-noop-real
260,2.153,1.356,0.708,0.581,1.435,0.007,0.764,0.009
270,2.383,1.464,0.786,0.573,1.59,0.005,0.875,0.013
280,2.506,1.528,0.834,0.621,1.663,0.005,0.899,0.005
290,2.82,1.665,0.883,0.692,1.926,0.007,0.964,0.006
300,2.984,1.901,0.957,0.766,2.019,0.006,1.127,0.006
310,3.129,1.938,1.064,0.765,2.056,0.006,1.165,0.006
320,3.435,2.389,1.077,0.888,2.349,0.006,1.491,0.007
330,3.765,2.215,1.27,0.844,2.485,0.007,1.358,0.01
340,3.882,2.386,1.245,0.973,2.622,0.007,1.402,0.007
350,4.102,2.502,1.38,0.953,2.704,0.016,1.539,0.008
360,4.611,2.682,1.485,1.027,3.106,0.017,1.644,0.008
370,4.509,2.949,1.453,1.16,3.045,0.008,1.769,0.017
380,4.953,2.933,1.553,1.143,3.388,0.009,1.778,0.009
390,5.642,3.253,1.732,1.295,3.898,0.009,1.943,0.012
400,5.455,3.332,1.696,1.352,3.748,0.009,1.969,0.01
