param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbv-regression-quadratic-real,cps+lazy-regression-quadratic-real,cps+native-compute-regression-quadratic-real,cps+simpl-regression-quadratic-real,cps+vm-compute-regression-quadratic-real,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-real,setoid-rewrite-regression-cubic-real
6914,6914,1,,,,,,0.064,,,
6920,1,6920,,,,0.135,,,,,
6920,6920,1,,,,0.132,,,,,
6942,1,6942,,0.042,0.033,,,,,,
6942,6942,1,,0.022,0.037,,,,,,
6950,1,6950,,,,,,0.035,,,
6950,6950,1,,,,,,0.046,,,
6972,83,84,,0.013,0.014,0.131,,0.034,,,
6986,1,6986,,,,,,0.035,,,
6986,6986,1,,,,,,0.066,,,
6993,1,6993,,,,0.119,,,,,
6993,6993,1,,,,0.132,,,,,
7000,1,7000,,0.05,0.039,,,,,,
7000,7000,1,,0.022,0.031,,,,,,
7022,1,7022,,,,,,0.035,,,
7022,7022,1,,,,,,0.048,,,
7023,1,7023,,0.036,,,,,,,
7023,7023,1,,0.022,,,,,,,
7058,1,7058,,0.04,0.069,,,0.035,,,
7058,7058,1,,0.023,0.028,,,0.064,,,
7066,1,7066,,,,0.128,,,,,
7066,7066,1,,,,0.128,,,,,
7094,1,7094,,,,,,0.034,,,
7094,7094,1,,,,,,0.084,,,
7105,1,7105,,,0.038,,,,,,
7105,7105,1,,,0.035,,,,,,
7117,1,7117,,0.043,0.042,,,,,,
7117,7117,1,,0.023,0.038,,,,,,
7130,1,7130,,,,,,0.059,,,
7130,7130,1,,,,,,0.047,,,
7138,1,7138,,,,0.123,,,,,
7138,7138,1,,,,0.159,,,,,
7140,84,85,,0.021,0.015,0.124,,0.053,,,
7166,1,7166,,,,,,0.035,,,
7166,7166,1,,,,,,0.046,,,
7175,1,7175,,0.039,0.071,,,,,,
7175,7175,1,,0.023,0.029,,,,,,
7187,1,7187,,0.027,,,,,,,
7187,7187,1,,0.028,,,,,,,
7202,1,7202,,,,,,0.036,,,
7202,7202,1,,,,,,0.061,,,
7211,1,7211,,,,0.135,,,,,
7211,7211,1,,,,0.143,,,,,
7233,1,7233,,0.035,0.087,,,,,,
7233,7233,1,,0.023,0.043,,,,,,
7238,1,7238,,,,,,0.036,,,
7238,7238,1,,,,,,0.077,,,
7274,1,7274,,,,,,0.036,,,
7274,7274,1,,,,,,0.047,,,
7284,1,7284,,,,0.138,,,,,
7284,7284,1,,,,0.133,,,,,
7292,1,7292,,0.033,0.059,,,,,,
7292,7292,1,,0.023,0.029,,,,,,
7310,1,7310,,,,,,0.05,,,
7310,85,86,,0.013,0.046,0.122,,0.035,,,
7310,7310,1,,,,,,0.047,,,
7346,1,7346,,,,,,0.058,,,
7346,7346,1,,,,,,0.048,,,
7350,1,7350,,0.045,0.035,,,,,,
7350,7350,1,,0.024,0.03,,,,,,
7357,1,7357,,,,0.133,,,,,
7357,7357,1,,,,0.139,,,,,
7382,1,7382,,,,,,0.063,,,
7382,7382,1,,,,,,0.048,,,
7394,1,7394,,,,0.12,,,,,
7394,7394,1,,,,0.14,,,,,
7408,1,7408,,0.028,0.048,,,,,,
7408,7408,1,,0.043,0.044,,,,,,
7418,1,7418,,,,,,0.037,,,
7418,7418,1,,,,,,0.049,,,
7430,1,7430,,,,0.13,,,,,
7430,7430,1,,,,0.135,,,,,
7454,1,7454,,,,,,0.046,,,
7454,7454,1,,,,,,0.052,,,
7467,1,7467,,0.034,0.051,,,,,,
7467,7467,1,,0.024,0.047,,,,,,
7482,86,87,,0.014,0.016,0.151,,0.052,,,
7490,1,7490,,,,,,0.037,,,
7490,7490,1,,,,,,0.079,,,
7503,1,7503,,,,0.129,,,,,
7503,7503,1,,,,0.139,,,,,
7525,1,7525,,0.048,0.075,,,,,,
7525,7525,1,,0.025,0.031,,,,,,
7526,1,7526,,,,,,0.037,,,
7526,7526,1,,,,,,0.062,,,
7562,1,7562,,,,,,0.038,,,
7562,7562,1,,,,,,0.067,,,
7576,1,7576,,,,0.142,,,,,
7576,7576,1,,,,0.142,,,,,
7583,1,7583,,0.038,0.036,,,,,,
7583,7583,1,,0.025,0.044,,,,,,
7595,1,7595,,0.037,,,,,,,
7595,7595,1,,0.024,,,,,,,
7598,1,7598,,,,,,0.037,,,
7598,7598,1,,,,,,0.059,,,
7634,1,7634,,,,,,0.044,,,
7634,7634,1,,,,,,0.091,,,
7642,1,7642,,0.037,0.046,,,,,,
7642,7642,1,,0.025,0.031,,,,,,
7649,1,7649,,,,0.123,,,,,
7649,7649,1,,,,0.155,,,,,
7656,1,7656,,,0.05,,,,,,
7656,87,88,,0.029,0.016,0.132,,0.036,,,
7656,7656,1,,,0.047,,,,,,
7670,1,7670,,,,,,0.038,,,
7670,7670,1,,,,,,0.073,,,
7700,1,7700,,0.034,0.048,,,,,,
7700,7700,1,,0.044,0.039,,,,,,
7706,1,7706,,,,,,0.038,,,
7706,7706,1,,,,,,0.125,,,
7721,1,7721,,,,0.124,,,,,
7721,7721,1,,,,0.175,,,,,
7742,1,7742,,,,,,0.039,,,
7742,7742,1,,,,,,0.05,,,
7758,1,7758,,0.03,0.071,,,,,,
7758,7758,1,,0.038,0.052,,,,,,
7778,1,7778,,,,,,0.063,,,
7778,7778,1,,,,,,0.051,,,
7794,1,7794,,,,0.129,,,,,
7794,7794,1,,,,0.162,,,,,
7814,1,7814,,,,,,0.073,,,
7814,7814,1,,,,,,0.052,,,
7817,1,7817,,0.029,0.061,,,,,,
7817,7817,1,,0.029,0.045,,,,,,
7832,88,89,,0.014,0.017,0.129,,0.075,,,
7840,1,7840,,0.054,,,,,,,
7840,7840,1,,0.026,,,,,,,
7850,1,7850,,,,,,0.094,,,
7850,7850,1,,,,,,0.051,,,
7867,1,7867,,,,0.125,,,,,
7867,7867,1,,,,0.194,,,,,
7875,1,7875,,0.034,0.037,,,,,,
7875,7875,1,,0.026,0.04,,,,,,
7886,1,7886,,,,,,0.04,,,
7886,7886,1,,,,,,0.051,,,
7922,1,7922,,,,,,0.046,,,
7922,7922,1,,,,,,0.057,,,
7933,1,7933,,0.053,0.041,,,,,,
7933,7933,1,,0.026,0.064,,,,,,
7940,1,7940,,,,0.125,,,,,
7940,7940,1,,,,0.14,,,,,
7958,1,7958,,,,,,0.038,,,
7958,7958,1,,,,,,0.063,,,
7963,1,7963,,,0.059,,,,,,
7963,7963,1,,,0.044,,,,,,
7992,1,7992,,0.042,0.052,,,,,,
7992,7992,1,,0.026,0.032,,,,,,
7994,1,7994,,,,,,0.04,,,
7994,7994,1,,,,,,0.083,,,
8010,89,90,,0.014,0.016,0.126,,0.038,,,
8013,1,8013,,,,0.164,,,,,
8013,8013,1,,,,0.139,,,,,
8030,1,8030,,,,,,0.04,,,
8030,8030,1,,,,,,0.051,,,
8050,1,8050,,0.034,0.048,,,,,,
8050,8050,1,,0.027,0.036,,,,,,
8066,1,8066,,,,,,0.06,,,
8066,8066,1,,,,,,0.052,,,
8085,1,8085,,0.069,,,,,,,
8085,8085,1,,0.039,,,,,,,
8086,1,8086,,,,0.141,,,,,
8086,8086,1,,,,0.137,,,,,
8102,1,8102,,,,,,0.067,,,
8102,8102,1,,,,,,0.053,,,
8108,1,8108,,0.031,0.066,,,,,,
8108,8108,1,,0.037,0.045,,,,,,
8138,1,8138,,,,,,0.04,,,
8138,8138,1,,,,,,0.053,,,
8159,1,8159,,,,0.143,,,,,
8159,8159,1,,,,0.137,,,,,
8167,1,8167,,0.038,0.076,,,,,,
8167,8167,1,,0.027,0.033,,,,,,
8174,1,8174,,,,,,0.069,,,
8174,8174,1,,,,,,0.053,,,
8190,90,91,,0.015,0.046,0.141,,0.054,,,
8210,1,8210,,,,,,0.043,,,
8210,8210,1,,,,,,0.09,,,
8225,1,8225,,0.043,0.045,,,,,,
8225,8225,1,,0.034,0.04,,,,,,
8231,1,8231,,,,0.132,,,,,
8231,8231,1,,,,0.17,,,,,
8246,1,8246,,,,,,0.039,,,
8246,8246,1,,,,,,0.073,,,
8269,1,8269,,,0.038,,,,,,
8269,8269,1,,,0.034,,,,,,
8282,1,8282,,,,,,0.042,,,
8282,8282,1,,,,,,0.063,,,
8283,1,8283,,0.032,0.066,,,,,,
8283,8283,1,,0.037,0.071,,,,,,
8304,1,8304,,,,0.128,,,,,
8304,8304,1,,,,0.165,,,,,
8319,1,8319,,,,,,0.06,,,
8319,8319,1,,,,,,0.092,,,
8330,1,8330,,0.031,,,,,,,
8330,8330,1,,0.051,,,,,,,
8342,1,8342,,0.065,0.053,,,,,,
8342,8342,1,,0.027,0.051,,,,,,
8355,1,8355,,,,,,0.048,,,
8355,8355,1,,,,,,0.055,,,
8372,91,92,,0.015,0.017,0.128,,0.04,,,
8377,1,8377,,,,0.127,,,,,
8377,8377,1,,,,0.161,,,,,
8391,1,8391,,,,,,0.069,,,
8391,8391,1,,,,,,0.055,,,
8400,1,8400,,0.083,0.069,,,,,,
8400,8400,1,,0.028,0.072,,,,,,
8427,1,8427,,,,,,0.041,,,
8427,8427,1,,,,,,0.084,,,
8450,1,8450,,,,0.145,,,,,
8450,8450,1,,,,0.137,,,,,
8458,1,8458,,0.036,0.079,,,,,,
8458,8458,1,,0.036,0.034,,,,,,
8463,1,8463,,,,,,0.043,,,
8463,8463,1,,,,,,0.069,,,
8499,1,8499,,,,,,0.068,,,
8499,8499,1,,,,,,0.057,,,
8517,1,8517,,0.033,0.06,,,,,,
8517,8517,1,,0.036,0.041,,,,,,
8534,1,8534,,,,0.129,,,,,
8534,8534,1,,,,0.163,,,,,
8535,1,8535,,,,,,0.073,,,
8535,8535,1,,,,,,0.056,,,
8556,92,93,,0.035,0.033,0.131,,0.069,,,
8571,1,8571,,,,,,0.043,,,
8571,8571,1,,,,,,0.055,,,
8575,1,8575,,0.033,0.044,,,,,,
8575,8575,1,,0.06,0.074,,,,,,
8607,1,8607,,,,,,0.043,,,
8607,8607,1,,,,,,0.083,,,
8619,1,8619,,,,0.147,,,,,
8619,8619,1,,,,0.14,,,,,
8633,1,8633,,0.046,0.041,,,,,,
8633,8633,1,,0.028,0.067,,,,,,
8643,1,8643,,,,,,0.043,,,
8643,8643,1,,,,,,0.068,,,
8679,1,8679,,,,,,0.067,,,
8679,8679,1,,,,,,0.057,,,
8692,1,8692,,0.052,0.044,,,,,,
8692,8692,1,,0.028,0.071,,,,,,
8703,1,8703,,,,0.143,,,,,
8703,8703,1,,,,0.143,,,,,
8715,1,8715,,,,,,0.056,,,
8715,8715,1,,,,,,0.14,,,
8742,93,94,,0.015,0.019,0.139,,0.04,,,
8750,1,8750,,0.06,0.065,,,,,,
8750,8750,1,,0.037,0.055,,,,,,
8751,1,8751,,,,,,0.044,,,
8751,8751,1,,,,,,0.057,,,
8787,1,8787,,,,,,0.066,,,
8787,8787,1,,,,,,0.057,,,
8788,1,8788,,,,0.131,,,,,
8788,8788,1,,,,0.176,,,,,
8808,1,8808,,0.033,0.051,,,,,,
8808,8808,1,,0.043,0.07,,,,,,
8820,1,8820,,0.042,,,,,,,
8820,8820,1,,0.028,,,,,,,
8823,1,8823,,,,,,0.05,,,
8823,8823,1,,,,,,0.058,,,
8859,1,8859,,,,,,0.103,,,
8859,8859,1,,,,,,0.056,,,
8867,1,8867,,0.054,0.063,,,,,,
8867,8867,1,,0.03,0.076,,,,,,
8872,1,8872,,,,0.133,,,,,
8872,8872,1,,,,0.147,,,,,
8881,1,8881,,,0.061,,,,,,
8881,8881,1,,,0.036,,,,,,
8895,1,8895,,,,,,0.069,,,
8895,8895,1,,,,,,0.058,,,
8925,1,8925,,0.035,0.064,,,,,,
8925,8925,1,,0.034,0.036,,,,,,
8930,94,95,,0.03,0.033,0.134,,0.042,,,
8931,1,8931,,,,,,0.08,,,
8931,8931,1,,,,,,0.058,,,
8957,1,8957,,,,0.142,,,,,
8957,8957,1,,,,0.147,,,,,
8967,1,8967,,,,,,0.045,,,
8967,8967,1,,,,,,0.061,,,
8983,1,8983,,0.035,0.047,,,,,,
8983,8983,1,,0.029,0.039,,,,,,
9003,1,9003,,,,,,0.078,,,
9003,9003,1,,,,,,0.058,,,
9039,1,9039,,,,,,0.043,,,
9039,9039,1,,,,,,0.084,,,
9041,1,9041,,,,0.138,,,,,
9041,9041,1,,,,0.178,,,,,
9042,1,9042,,0.05,0.066,,,,,,
9042,9042,1,,0.031,0.262,,,,,,
9065,1,9065,,0.034,,,,,,,
9065,9065,1,,0.037,,,,,,,
9075,1,9075,,,,,,0.046,,,
9075,9075,1,,,,,,0.081,,,
9100,1,9100,,0.035,0.043,,,,,,
9100,9100,1,,0.038,0.066,,,,,,
9111,1,9111,,,,,,0.044,,,
9111,9111,1,,,,,,0.089,,,
9120,95,96,,0.016,0.02,0.133,,0.046,,,
9126,1,9126,,,,0.151,,,,,
9126,9126,1,,,,0.144,,,,,
9147,1,9147,,,,,,0.045,,,
9147,9147,1,,,,,,0.105,,,
9158,1,9158,,0.039,0.087,,,,,,
9158,9158,1,,0.03,0.067,,,,,,
9183,1,9183,,,,,,0.045,,,
9183,9183,1,,,,,,0.107,,,
9188,1,9188,,,0.054,,,,,,
9188,9188,1,,,0.049,,,,,,
9210,1,9210,,,,0.151,,,,,
9210,9210,1,,,,0.148,,,,,
9217,1,9217,,0.048,0.088,,,,,,
9217,9217,1,,0.039,0.068,,,,,,
9219,1,9219,,,,,,0.046,,,
9219,9219,1,,,,,,0.059,,,
9255,1,9255,,,,,,0.046,,,
9255,9255,1,,,,,,0.086,,,
9275,1,9275,,0.073,0.08,,,,,,
9275,9275,1,,0.03,0.051,,,,,,
9291,1,9291,,,,,,0.046,,,
9291,9291,1,,,,,,0.091,,,
9295,1,9295,,,,0.148,,,,,
9295,9295,1,,,,0.148,,,,,
9310,1,9310,,0.043,,,,,,,
9310,9310,1,,0.057,,,,,,,
9312,96,97,,0.017,0.02,0.138,,0.067,,,
9327,1,9327,,,,,,0.046,,,
9327,9327,1,,,,,,0.077,,,
9333,1,9333,,0.058,0.044,,,,,,
9333,9333,1,,0.053,0.064,,,,,,
9363,1,9363,,,,,,0.071,,,
9363,9363,1,,,,,,0.061,,,
9379,1,9379,,,,0.133,,,,,
9379,9379,1,,,,0.159,,,,,
9392,1,9392,,0.036,0.047,,,,,,
9392,9392,1,,0.042,0.066,,,,,,
9399,1,9399,,,,,,0.067,,,
9399,9399,1,,,,,,0.061,,,
9435,1,9435,,,,,,0.046,,,
9435,9435,1,,,,,,0.079,,,
9450,1,9450,,0.055,0.053,,,,,,
9450,9450,1,,0.031,0.068,,,,,,
9453,1,9453,,,,,,0.047,,,
9453,9453,1,,,,,,0.091,,,
9464,1,9464,,,,0.129,,,,,
9464,9464,1,,,,0.15,,,,,
9471,1,9471,,,,,,0.067,,,
9471,9471,1,,,,,,0.112,,,
9494,1,9494,,,0.051,,,,,,
9494,9494,1,,,0.065,,,,,,
9506,1,9506,,,,0.138,,,,,
9506,97,98,,0.017,0.031,0.125,,0.116,,,
9506,9506,1,,,,0.166,,,,,
9507,1,9507,,,,,,0.046,,,
9507,9507,1,,,,,,0.134,,,
9508,1,9508,,0.049,0.06,,,,,,
9508,9508,1,,0.04,0.068,,,,,,
9543,1,9543,,,,,,0.069,,,
9543,9543,1,,,,,,0.061,,,
9548,1,9548,,,,0.134,,,,,
9548,9548,1,,,,0.151,,,,,
9555,1,9555,,0.049,,,,,,,
9555,9555,1,,0.04,,,,,,,
9567,1,9567,,0.042,0.049,,,,,,
9567,9567,1,,0.031,0.069,,,,,,
9579,1,9579,,,,,,0.088,,,
9579,9579,1,,,,,,0.063,,,
9615,1,9615,,,,,,0.048,,,
9615,9615,1,,,,,,0.08,,,
9625,1,9625,,0.051,0.058,,,,,,
9625,9625,1,,0.059,0.069,,,,,,
9633,1,9633,,,,0.15,,,,,
9633,9633,1,,,,0.151,,,,,
9651,1,9651,,,,,,0.048,,,
9651,9651,1,,,,,,0.063,,,
9683,1,9683,,0.037,0.093,,,,,,
9683,9683,1,,0.074,0.099,,,,,,
9687,1,9687,,,,,,0.048,,,
9687,9687,1,,,,,,0.085,,,
9702,98,99,,0.017,0.021,0.144,,0.047,,,
9717,1,9717,,,,0.142,,,,,
9717,9717,1,,,,0.152,,,,,
9723,1,9723,,,,,,0.048,,,
9723,9723,1,,,,,,0.081,,,
9742,1,9742,,0.055,0.085,,,,,,
9742,9742,1,,0.033,0.092,,,,,,
9759,1,9759,,,,,,0.067,,,
9759,9759,1,,,,,,0.071,,,
9795,1,9795,,,,,,0.046,,,
9795,9795,1,,,,,,0.083,,,
9800,1,9800,,0.037,0.072,,,,,,
9800,9800,1,,0.052,0.05,,,,,,
9802,1,9802,,,,0.14,,,,,
9802,9802,1,,,,0.148,,,,,
9831,1,9831,,,,,,0.05,,,
9831,9831,1,,,,,,0.066,,,
9858,1,9858,,0.066,0.084,,,,,,
9858,9858,1,,0.037,0.062,,,,,,
9867,1,9867,,,,,,0.061,,,
9867,9867,1,,,,,,0.064,,,
9886,1,9886,,,,0.134,,,,,
9886,9886,1,,,,0.156,,,,,
9900,99,100,,0.018,0.021,0.147,,0.076,,,
9903,1,9903,,,,,,0.067,,,
9903,9903,1,,,,,,0.073,,,
9917,1,9917,,0.045,0.058,,,,,,
9917,9917,1,,0.046,0.04,,,,,,
9939,1,9939,,,,,,0.072,,,
9939,9939,1,,,,,,0.066,,,
9971,1,9971,,,,0.155,,,,,
9971,9971,1,,,,0.151,,,,,
9975,1,9975,,0.057,0.066,,,0.061,,,
9975,9975,1,,0.034,0.047,,,0.088,,,
10011,1,10011,,,,,,0.063,,,
10011,10011,1,,,,,,0.066,,,
10033,1,10033,,0.05,0.066,,,,,,
10033,10033,1,,0.048,0.044,,,,,,
10047,1,10047,,,,,,0.057,,,
10047,10047,1,,,,,,0.066,,,
10055,1,10055,,,,0.151,,,,,
10055,10055,1,,,,0.15,,,,,
10083,1,10083,,,,,,0.066,,,
10083,10083,1,,,,,,0.072,,,
10092,1,10092,,0.069,0.063,,,,,,
10092,10092,1,,0.033,0.064,,,,,,
10100,100,101,,0.018,0.051,0.145,,0.066,,,
10106,1,10106,,0.044,,,,,,,
10106,10106,1,,0.055,,,,,,,
10119,1,10119,,,,,,0.07,,,
10119,10119,1,,,,,,0.066,,,
10140,1,10140,,,,0.145,,,,,
10140,10140,1,,,,0.167,,,,,
10150,1,10150,,0.058,0.065,,,,,,
10150,10150,1,,0.042,0.067,,,,,,
10155,1,10155,,,,,,0.071,,,
10155,10155,1,,,,,,0.067,,,
10191,1,10191,,,,,,0.068,,,
10191,10191,1,,,,,,0.065,,,
10208,1,10208,,0.039,0.066,,,,,,
10208,10208,1,,0.033,0.066,,,,,,
10209,1,10209,,,,,,0.052,,,
10209,10209,1,,,,,,0.081,,,
10224,1,10224,,,,0.153,,,,,
10224,10224,1,,,,0.152,,,,,
10227,1,10227,,,,,,0.05,,,
10227,10227,1,,,,,,0.077,,,
10263,1,10263,,,,,,0.07,,,
10263,10263,1,,,,,,0.097,,,
10267,1,10267,,0.05,0.06,,,,,,
10267,10267,1,,0.034,0.066,,,,,,
10290,1,10290,,,0.07,,,,,,
10290,10290,1,,,0.049,,,,,,
10299,1,10299,,,,,,0.052,,,
10299,10299,1,,,,,,0.084,,,
10302,101,102,,0.037,0.05,0.143,,0.071,,,
10309,1,10309,,,,0.14,,,,,
10309,10309,1,,,,0.179,,,,,
10325,1,10325,,0.048,0.06,,,,,,
10325,10325,1,,0.041,0.065,,,,,,
10335,1,10335,,,,,,0.077,,,
10335,10335,1,,,,,,0.118,,,
10371,1,10371,,,,,,0.051,,,
10371,10371,1,,,,,,0.127,,,
10383,1,10383,,0.07,0.081,,,,,,
10383,10383,1,,0.034,0.074,,,,,,
10393,1,10393,,,,0.149,,,,,
10393,10393,1,,,,0.153,,,,,
10407,1,10407,,,,,,0.069,,,
10407,10407,1,,,,,,0.067,,,
10413,1,10413,,0.04,,,,,,,
10413,10413,1,,0.049,,,,,,,
10442,1,10442,,0.056,0.09,,,,,,
10442,10442,1,,0.044,0.043,,,,,,
10443,1,10443,,,,,,0.051,,,
10443,10443,1,,,,,,0.081,,,
10478,1,10478,,,,0.176,,,,,
10478,10478,1,,,,0.188,,,,,
10479,1,10479,,,,,,0.05,,,
10479,10479,1,,,,,,0.114,,,
10500,1,10500,,0.046,0.071,,,,,,
10500,10500,1,,0.035,0.061,,,,,,
10506,102,103,,0.041,0.043,0.129,,0.059,,,
10515,1,10515,,,,,,0.053,,,
10515,10515,1,,,,,,0.069,,,
10551,1,10551,,,,,,0.066,,,
10551,10551,1,,,,,,0.076,,,
10558,1,10558,,0.051,0.074,,,,,,
10558,10558,1,,0.04,0.064,,,,,,
10562,1,10562,,,,0.14,,,,,
10562,10562,1,,,,0.211,,,,,
10563,1,10563,,,,0.136,,,,,
10563,10563,1,,,,0.158,,,,,
10587,1,10587,,,,,,0.053,,,
10587,10587,1,,,,,,0.091,,,
10617,1,10617,,0.066,0.14,,,,,,
10617,10617,1,,0.051,0.043,,,,,,
10623,1,10623,,,,,,0.095,,,
10623,10623,1,,,,,,0.071,,,
10659,1,10659,,,,,,0.072,,,
10659,10659,1,,,,,,0.08,,,
10663,1,10663,,,,0.16,,,,,
10663,10663,1,,,,0.156,,,,,
10675,1,10675,,0.041,0.088,,,,,,
10675,10675,1,,0.043,0.043,,,,,,
10695,1,10695,,,,,,0.053,,,
10695,10695,1,,,,,,0.083,,,
10712,103,104,,0.02,0.023,0.167,,0.069,,,
10719,1,10719,,0.056,,,,,,,
10719,10719,1,,0.054,,,,,,,
10731,1,10731,,,,,,0.058,,,
10731,10731,1,,,,,,0.088,,,
10733,1,10733,,0.045,0.083,,,,,,
10733,10733,1,,0.061,0.066,,,,,,
10763,1,10763,,,,0.137,,,,,
10763,10763,1,,,,0.166,,,,,
10767,1,10767,,,,,,0.063,,,
10767,10767,1,,,,,,0.069,,,
10780,1,10780,,,0.074,,,,,,
10780,10780,1,,,0.093,,,,,,
10792,1,10792,,0.056,0.079,,,,,,
10792,10792,1,,0.035,0.062,,,,,,
10803,1,10803,,,,,,0.065,,,
10803,10803,1,,,,,,0.073,,,
10839,1,10839,,,,,,0.069,,,
10839,10839,1,,,,,,0.079,,,
10850,1,10850,,0.052,0.072,,,,,,
10850,10850,1,,0.053,0.053,,,,,,
10864,1,10864,,,,0.152,,,,,
10864,10864,1,,,,0.152,,,,,
10875,1,10875,,,,,,0.054,,,
10875,10875,1,,,,,,0.082,,,
10908,1,10908,,0.069,0.063,,,,,,
10908,10908,1,,0.051,0.064,,,,,,
10911,1,10911,,,,,,0.093,,,
10911,10911,1,,,,,,0.151,,,
10920,104,105,,0.021,0.051,0.149,,0.062,,,
10947,1,10947,,,,,,0.054,,,
10947,10947,1,,,,,,0.113,,,
10964,1,10964,,,,0.158,,,,,
10964,10964,1,,,,0.157,,,,,
10965,1,10965,,,,,,0.103,,,
10965,10965,1,,,,,,0.073,,,
10967,1,10967,,0.068,0.063,,,,,,
10967,10967,1,,0.065,0.065,,,,,,
10983,1,10983,,,,,,0.056,,,
10983,10983,1,,,,,,0.116,,,
11019,1,11019,,,,,,0.068,,,
11019,11019,1,,,,,,0.091,,,
11025,1,11025,,0.042,0.13,,,,,,
11025,105,105,,0.02,0.024,,,,,,
11025,11025,1,,0.053,0.074,,,,,,
11055,1,11055,,,,,,0.097,,,
11055,11055,1,,,,,,0.073,,,
11065,1,11065,,,,0.156,,,,,
11065,11065,1,,,,0.169,,,,,
11083,1,11083,,0.092,0.077,,,,,,
11083,11083,1,,0.037,0.066,,,,,,
11091,1,11091,,,,,,0.056,,,
11091,11091,1,,,,,,0.117,,,
11127,1,11127,,,,,,0.057,,,
11127,11127,1,,,,,,0.074,,,
11130,105,106,,0.036,0.05,0.138,,0.081,,,
11142,1,11142,,0.066,0.091,,,,,,
11142,11142,1,,0.039,0.09,,,,,,
11163,1,11163,,,,,,0.066,,,
11163,11163,1,,,,,,0.079,,,
11166,1,11166,,,,0.152,,,,,
11166,11166,1,,,,0.175,,,,,
11199,1,11199,,,,,,0.093,,,
11199,11199,1,,,,,,0.09,,,
11200,1,11200,,0.049,0.088,,,,,,
11200,11200,1,,0.038,0.101,,,,,,
11235,1,11235,,,,,,0.057,,,
11235,11235,1,,,,,,0.086,,,
11258,1,11258,,0.067,0.069,,,,,,
11258,11258,1,,0.037,0.073,,,,,,
11266,1,11266,,,,0.14,,,,,
11266,11266,1,,,,0.18,,,,,
11270,1,11270,,,0.125,,,,,,
11270,11270,1,,,0.069,,,,,,
11271,1,11271,,,,,,0.067,,,
11271,11271,1,,,,,,0.073,,,
11307,1,11307,,,,,,0.094,,,
11307,11307,1,,,,,,0.093,,,
11317,1,11317,,0.075,0.053,,,,,,
11317,11317,1,,0.038,0.07,,,,,,
11331,1,11331,,0.055,,,,,,,
11331,11331,1,,0.039,,,,,,,
11342,106,107,,0.032,0.059,0.148,,0.067,,,
11344,1,11344,,,,,,0.056,,,
11344,11344,1,,,,,,0.12,,,
11367,1,11367,,,,0.175,,,,,
11367,11367,1,,,,0.197,,,,,
11375,1,11375,,0.063,0.056,,,,,,
11375,11375,1,,0.046,0.067,,,,,,
11380,1,11380,,,,,,0.057,,,
11380,11380,1,,,,,,0.087,,,
11416,1,11416,,,,,,0.062,,,
11416,11416,1,,,,,,0.089,,,
11433,1,11433,,0.048,0.122,,,,,,
11433,11433,1,,0.062,0.083,,,,,,
11452,1,11452,,,,,,0.067,,,
11452,11452,1,,,,,,0.12,,,
11468,1,11468,,,,0.146,,,,,
11468,11468,1,,,,0.163,,,,,
11488,1,11488,,,,,,0.092,,,
11488,11488,1,,,,,,0.077,,,
11492,1,11492,,0.061,0.083,,,,,,
11492,11492,1,,0.038,0.065,,,,,,
11524,1,11524,,,,,,0.07,,,
11524,11524,1,,,,,,0.082,,,
11550,1,11550,,0.05,0.07,,,,,,
11550,11550,1,,0.042,0.064,,,,,,
11556,107,108,,0.021,0.056,0.136,,0.057,,,
11560,1,11560,,,,,,0.097,,,
11560,11560,1,,,,,,0.126,,,
11568,1,11568,,,,0.162,,,,,
11568,11568,1,,,,0.161,,,,,
11596,1,11596,,,,,,0.058,,,
11596,11596,1,,,,,,0.163,,,
11608,1,11608,,0.065,0.062,,,,,,
11608,11608,1,,0.049,0.073,,,,,,
11619,1,11619,,,,0.15,,,,,
11619,11619,1,,,,0.172,,,,,
11632,1,11632,,,,,,0.058,,,
11632,11632,1,,,,,,0.118,,,
11638,1,11638,,0.059,,,,,,,
11638,11638,1,,0.058,,,,,,,
11667,1,11667,,0.07,0.119,,,,,,
11667,11667,1,,0.052,0.081,,,,,,
11668,1,11668,,,,,,0.1,,,
11668,11668,1,,,,,,0.122,,,
11669,1,11669,,,,0.149,,,,,
11669,11669,1,,,,0.178,,,,,
11704,1,11704,,,,,,0.073,,,
11704,11704,1,,,,,,0.078,,,
11722,1,11722,,,,,,0.121,,,
11722,11722,1,,,,,,0.078,,,
11725,1,11725,,0.061,0.101,,,,,,
11725,11725,1,,0.048,0.066,,,,,,
11740,1,11740,,,,,,0.068,,,
11740,11740,1,,,,,,0.078,,,
11760,1,11760,,,0.103,,,,,,
11760,11760,1,,,0.051,,,,,,
11769,1,11769,,,,0.144,,,,,
11769,11769,1,,,,0.176,,,,,
11772,108,109,,0.022,0.067,0.147,,0.056,,,
11776,1,11776,,,,,,0.069,,,
11776,11776,1,,,,,,0.084,,,
11783,1,11783,,0.074,0.152,,,,,,
11783,11783,1,,0.073,0.104,,,,,,
11812,1,11812,,,,,,0.096,,,
11812,11812,1,,,,,,0.096,,,
11842,1,11842,,0.098,0.086,,,,,,
11842,11842,1,,0.039,0.048,,,,,,
11848,1,11848,,,,,,0.095,,,
