param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbv-regression-quadratic-real,cps+lazy-regression-quadratic-real,cps+native-compute-regression-quadratic-real,cps+simpl-regression-quadratic-real,cps+vm-compute-regression-quadratic-real,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-real,setoid-rewrite-regression-cubic-real
809,1,809,,,,0.091,,,,,
809,809,1,,,,0.109,,,,,
812,28,29,0.099,0.001,0.001,0.096,0.146,0.004,,,
821,1,821,,0.003,0.003,,,,,,
821,821,1,,0.002,0.003,,,,,,
831,1,831,,,,,,0.004,,,
831,831,1,,,,,,0.005,,,
849,1,849,,,,0.098,,,,,
849,849,1,,,,0.096,,,,,
859,1,859,,,,0.096,,,,,
859,859,1,,,,0.094,,,,,
867,1,867,,,,,,0.004,,,
867,867,1,,,,,,0.005,,,
870,29,30,,0.001,0.002,0.152,0.088,0.004,,,
879,1,879,,0.003,0.004,,,,,,
879,879,1,,0.002,0.003,,,,,,
890,1,890,,,,,2.295,,,,
890,890,1,,,,,1.069,,,,
903,1,903,,,,,,0.004,,,
903,903,1,,,,,,0.005,,,
909,1,909,,,,0.091,,,,,
909,909,1,,,,0.094,,,,,
930,30,31,,0.001,0.002,0.095,,0.004,,,
937,1,937,,0.003,0.004,,,,,,
937,937,1,,0.002,0.003,,,,,,
939,1,939,,,,,,0.004,,,
939,939,1,,,,,,0.006,,,
959,1,959,,,,0.102,,,,,
959,959,1,,,,0.094,,,,,
975,1,975,,,,,,0.009,,,
975,975,1,,,,,,0.006,,,
992,31,32,,0.001,0.002,0.091,0.133,0.004,,,
995,1,995,,0.003,0.004,,,,,,
995,995,1,,0.003,0.003,,,,,,
1009,1,1009,,,,0.091,,,,,
1009,1009,1,,,,0.094,,,,,
1011,1,1011,,,,,,0.005,,,
1011,1011,1,,,,,,0.006,,,
1017,1,1017,,,,,2.773,,,,
1017,1017,1,,,,,1.167,,,,
1047,1,1047,,,,,,0.005,,,
1047,1047,1,,,,,,0.006,,,
1053,1,1053,,0.006,0.005,,,,,,
1053,1053,1,,0.003,0.004,,,,,,
1056,32,33,0.136,0.002,0.002,0.095,,0.005,,,
1060,1,1060,,,,0.093,,,,,
1060,1060,1,,,,0.099,,,,,
1075,1,1075,14.963,,,,,,,,
1075,1075,1,9.262,,,,,,,,
1082,1,1082,,,,,,0.005,,,
1082,1082,1,,,,,,0.006,,,
1110,1,1110,,,,0.094,,,,,
1110,1110,1,,,,0.095,,,,,
1112,1,1112,,0.004,0.005,,,,,,
1112,1112,1,,0.003,0.007,,,,,,
1118,1,1118,,,,,,0.005,,,
1118,1118,1,,,,,,0.007,,,
1122,33,34,,0.002,0.002,0.101,,0.017,,,
1154,1,1154,,,,,,0.005,,,
1154,1154,1,,,,,,0.007,,,
1160,1,1160,,,,0.096,,,,,
1160,1160,1,,,,0.096,,,,,
1170,1,1170,,0.004,0.005,,,,,,
1170,1170,1,,0.003,0.004,,,,,,
1190,1,1190,,,,,,0.006,,,
1190,34,35,,0.002,0.002,0.094,,0.005,,,
1190,1190,1,,,,,,0.007,,,
1210,1,1210,,,,0.094,,,,,
1210,1210,1,,,,0.099,,,,,
1226,1,1226,,,,,,0.006,,,
1226,1226,1,,,,,,0.008,,,
1228,1,1228,,0.004,0.005,,,,,,
1228,1228,1,,0.003,0.004,,,,,,
