param-n,abstract-regression-quadratic-real,build-I-regression-linear-real,build-admit-cast-regression-linear-real,build-admit-regression-linear-real,build-eval-thunk-regression-linear-real,build-pf-cast-regression-linear-real,build-thunk-regression-linear-real,check-I-regression-linear-real,check-admit-cast-regression-quadratic-real,check-admit-regression-quadratic-real,check-pf-cast-regression-quadratic-real,close-abstract-regression-quadratic-real,eval-thunk-regression-linear-real,fast-rewrite-regression-quadratic-real,refine-regression-quadratic-regression-linear-real,type-I-regression-linear-real,type-admit-cast-regression-quadratic-real,type-admit-regression-quadratic-real,type-pf-cast-regression-quadratic-real
100,0.102,0.,0.,0.,0.065,0.,0.065,0.001,0.003,0.002,0.003,0.006,0.,0.095,0.003,0.001,0.003,0.003,0.003
110,0.056,0.001,0.,0.001,0.013,0.,0.013,0.001,0.003,0.003,0.003,0.007,0.,0.047,0.003,0.001,0.003,0.003,0.003
120,0.06,0.001,0.001,0.001,0.013,0.,0.013,0.002,0.004,0.004,0.004,0.008,0.,0.051,0.004,0.002,0.004,0.003,0.004
130,0.069,0.003,0.001,0.001,0.012,0.001,0.012,0.002,0.004,0.004,0.004,0.01,0.,0.058,0.004,0.002,0.004,0.004,0.004
140,0.074,0.001,0.001,0.001,0.016,0.001,0.016,0.002,0.005,0.004,0.005,0.011,0.,0.062,0.005,0.002,0.005,0.004,0.005
150,0.08,0.001,0.001,0.001,0.016,0.001,0.016,0.002,0.005,0.005,0.005,0.012,0.,0.068,0.006,0.002,0.005,0.005,0.005
160,0.09,0.001,0.001,0.001,0.018,0.001,0.018,0.002,0.006,0.006,0.006,0.014,0.,0.074,0.006,0.002,0.006,0.005,0.006
170,0.094,0.001,0.001,0.001,0.017,0.001,0.016,0.002,0.007,0.006,0.008,0.014,0.,0.079,0.007,0.002,0.006,0.006,0.007
180,0.103,0.001,0.001,0.001,0.017,0.001,0.016,0.003,0.007,0.009,0.007,0.016,0.,0.085,0.007,0.003,0.007,0.007,0.007
190,0.114,0.001,0.001,0.001,0.022,0.001,0.022,0.003,0.008,0.007,0.008,0.017,0.,0.095,0.011,0.003,0.007,0.007,0.007
200,0.122,0.001,0.001,0.001,0.023,0.001,0.023,0.003,0.009,0.008,0.009,0.018,0.,0.103,0.009,0.003,0.009,0.008,0.011
210,0.127,0.001,0.001,0.001,0.02,0.001,0.02,0.003,0.009,0.013,0.008,0.02,0.,0.106,0.009,0.003,0.009,0.009,0.009
220,0.136,0.002,0.002,0.002,0.023,0.002,0.022,0.003,0.01,0.01,0.01,0.022,0.,0.113,0.01,0.003,0.012,0.009,0.009
230,0.145,0.001,0.002,0.001,0.024,0.001,0.024,0.003,0.011,0.01,0.01,0.023,0.,0.12,0.011,0.003,0.01,0.01,0.014
240,0.154,0.005,0.002,0.002,0.023,0.002,0.023,0.004,0.011,0.011,0.012,0.023,0.,0.129,0.015,0.004,0.011,0.011,0.011
250,0.171,0.002,0.002,0.002,0.024,0.002,0.024,0.01,0.012,0.012,0.012,0.027,0.,0.143,0.017,0.004,0.012,0.012,0.012
260,0.177,0.002,0.002,0.002,0.025,0.002,0.025,0.007,0.013,0.012,0.014,0.028,0.,0.147,0.019,0.004,0.013,0.012,0.013
270,0.187,0.007,0.002,0.002,0.026,0.002,0.026,0.004,0.014,0.013,0.014,0.029,0.,0.156,0.013,0.004,0.013,0.013,0.022
280,0.193,0.002,0.002,0.002,0.03,0.008,0.03,0.004,0.014,0.013,0.015,0.032,0.,0.16,0.014,0.004,0.015,0.014,0.015
290,0.214,0.002,0.009,0.002,0.032,0.002,0.031,0.005,0.016,0.015,0.016,0.037,0.,0.175,0.016,0.004,0.016,0.016,0.016
300,0.216,0.002,0.002,0.002,0.034,0.002,0.033,0.005,0.017,0.015,0.022,0.036,0.,0.179,0.017,0.005,0.017,0.015,0.017
310,0.223,0.002,0.002,0.002,0.03,0.002,0.029,0.005,0.018,0.016,0.017,0.038,0.,0.183,0.018,0.009,0.017,0.016,0.022
320,0.255,0.002,0.003,0.002,0.041,0.002,0.041,0.005,0.024,0.018,0.02,0.05,0.,0.203,0.019,0.005,0.019,0.017,0.018
330,0.254,0.003,0.003,0.002,0.032,0.003,0.032,0.011,0.02,0.019,0.028,0.042,0.,0.21,0.019,0.005,0.019,0.019,0.02
340,0.257,0.003,0.003,0.003,0.037,0.003,0.037,0.005,0.02,0.023,0.02,0.044,0.,0.212,0.025,0.005,0.019,0.019,0.021
350,0.283,0.003,0.002,0.003,0.042,0.003,0.041,0.006,0.022,0.027,0.021,0.047,0.,0.235,0.032,0.006,0.022,0.02,0.021
360,0.278,0.003,0.002,0.003,0.038,0.003,0.037,0.006,0.023,0.021,0.022,0.05,0.,0.226,0.021,0.006,0.022,0.027,0.022
370,0.294,0.003,0.003,0.003,0.041,0.003,0.04,0.006,0.024,0.023,0.023,0.051,0.,0.242,0.028,0.006,0.024,0.026,0.023
380,0.299,0.003,0.003,0.003,0.037,0.003,0.037,0.006,0.025,0.024,0.024,0.054,0.,0.243,0.027,0.006,0.024,0.027,0.024
390,0.314,0.003,0.003,0.003,0.043,0.003,0.043,0.006,0.025,0.027,0.025,0.056,0.,0.256,0.026,0.006,0.025,0.024,0.029
400,0.34,0.003,0.003,0.003,0.044,0.003,0.044,0.007,0.027,0.035,0.026,0.06,0.,0.28,0.028,0.006,0.028,0.027,0.032
500,0.463,0.003,0.007,0.004,0.056,0.004,0.056,0.008,0.041,0.038,0.039,0.089,0.,0.372,0.043,0.008,0.039,0.038,0.039
600,0.629,0.005,0.005,0.005,0.063,0.005,0.063,0.01,0.054,0.053,0.057,0.124,0.,0.503,0.055,0.013,0.06,0.055,0.055
700,0.822,0.015,0.006,0.006,0.07,0.01,0.069,0.011,0.074,0.07,0.075,0.162,0.,0.657,0.078,0.011,0.075,0.077,0.072
800,1.024,0.006,0.011,0.007,0.084,0.007,0.083,0.013,0.092,0.093,0.095,0.223,0.,0.8,0.095,0.016,0.092,0.094,0.088
900,1.272,0.008,0.008,0.008,0.102,0.008,0.101,0.015,0.125,0.119,0.121,0.267,0.,1.003,0.126,0.015,0.115,0.117,0.112
1000,1.532,0.009,0.009,0.009,0.112,0.009,0.111,0.023,0.147,0.151,0.148,0.322,0.001,1.209,0.145,0.016,0.145,0.142,0.136
