param-n,abstract-regression-quadratic-real,build-I-regression-linear-real,build-admit-cast-regression-linear-real,build-admit-regression-linear-real,build-eval-thunk-regression-linear-real,build-pf-cast-regression-linear-real,build-thunk-regression-linear-real,check-I-regression-linear-real,check-admit-cast-regression-quadratic-real,check-admit-regression-quadratic-real,check-pf-cast-regression-quadratic-real,close-abstract-regression-quadratic-real,eval-thunk-regression-linear-real,fast-rewrite-regression-quadratic-real,refine-regression-quadratic-regression-linear-real,type-I-regression-linear-real,type-admit-cast-regression-quadratic-real,type-admit-regression-quadratic-real,type-pf-cast-regression-quadratic-real
120,0.059,0.,0.,0.,0.011,0.003,0.011,0.002,0.004,0.004,0.003,0.007,0.,0.05,0.004,0.002,0.004,0.003,0.003
130,0.064,0.,0.,0.,0.012,0.,0.012,0.002,0.004,0.004,0.004,0.009,0.,0.054,0.005,0.002,0.004,0.004,0.006
140,0.074,0.,0.,0.,0.012,0.,0.012,0.003,0.006,0.004,0.005,0.01,0.,0.062,0.007,0.002,0.005,0.004,0.005
150,0.078,0.001,0.,0.,0.015,0.,0.015,0.002,0.008,0.004,0.006,0.01,0.,0.067,0.006,0.002,0.005,0.005,0.005
160,0.087,0.,0.001,0.,0.014,0.,0.014,0.003,0.005,0.005,0.008,0.012,0.,0.073,0.006,0.003,0.006,0.009,0.005
170,0.099,0.,0.001,0.001,0.018,0.,0.018,0.002,0.01,0.006,0.006,0.014,0.,0.083,0.007,0.003,0.007,0.007,0.007
180,0.1,0.001,0.,0.,0.018,0.,0.017,0.003,0.008,0.007,0.008,0.014,0.,0.084,0.007,0.004,0.007,0.007,0.007
190,0.11,0.001,0.001,0.001,0.019,0.001,0.019,0.003,0.008,0.008,0.008,0.016,0.,0.093,0.01,0.003,0.008,0.008,0.008
200,0.123,0.001,0.001,0.001,0.017,0.001,0.017,0.003,0.008,0.009,0.01,0.02,0.,0.102,0.01,0.007,0.008,0.008,0.011
210,0.126,0.001,0.004,0.001,0.02,0.001,0.02,0.004,0.009,0.009,0.009,0.019,0.,0.105,0.009,0.004,0.01,0.008,0.009
