param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
60,0.103,0.003,0.1,0.056,0.,0.056,0.017,0.,0.017,0.015,0.,0.015,0.084,0.002,0.082,0.,0.,0.,0.039,0.,0.039,0.,0.,0.
61,0.109,0.,0.109,0.06,0.,0.06,0.022,0.,0.022,0.017,0.,0.017,0.085,0.,0.085,0.,0.,0.,0.04,0.,0.04,0.,0.,0.
62,0.112,0.,0.112,0.061,0.,0.061,0.022,0.,0.022,0.017,0.,0.017,0.088,0.,0.088,0.,0.,0.,0.042,0.,0.042,0.,0.,0.
63,0.11,0.,0.11,0.063,0.,0.063,0.021,0.,0.021,0.018,0.,0.018,0.086,0.,0.086,0.,0.,0.,0.043,0.,0.043,0.,0.,0.
64,0.119,0.003,0.116,0.062,0.,0.062,0.024,0.,0.024,0.013,0.,0.013,0.092,0.003,0.088,0.,0.,0.,0.047,0.,0.047,0.,0.,0.
65,0.118,0.,0.118,0.069,0.,0.069,0.023,0.,0.023,0.017,0.,0.017,0.093,0.,0.093,0.,0.,0.,0.05,0.,0.05,0.,0.,0.
66,0.124,0.003,0.12,0.066,0.,0.066,0.02,0.,0.02,0.014,0.,0.014,0.102,0.003,0.098,0.,0.,0.,0.049,0.,0.049,0.,0.,0.
67,0.128,0.,0.128,0.071,0.,0.071,0.02,0.,0.02,0.017,0.,0.017,0.105,0.,0.105,0.,0.,0.,0.052,0.,0.052,0.,0.,0.
68,0.134,0.,0.134,0.075,0.,0.075,0.021,0.,0.021,0.02,0.,0.02,0.11,0.,0.11,0.,0.,0.,0.052,0.,0.052,0.,0.,0.
69,0.137,0.003,0.133,0.072,0.,0.072,0.022,0.,0.022,0.015,0.,0.016,0.113,0.003,0.109,0.,0.,0.,0.055,0.,0.055,0.,0.,0.
70,0.142,0.004,0.138,0.079,0.,0.079,0.023,0.,0.023,0.019,0.,0.019,0.117,0.004,0.113,0.,0.,0.,0.058,0.,0.058,0.,0.,0.
71,0.146,0.,0.146,0.079,0.,0.079,0.024,0.,0.024,0.022,0.,0.022,0.12,0.,0.12,0.,0.,0.,0.055,0.,0.055,0.,0.,0.
72,0.149,0.,0.149,0.078,0.,0.078,0.024,0.,0.024,0.017,0.,0.017,0.122,0.,0.122,0.,0.,0.,0.059,0.,0.059,0.,0.,0.
73,0.171,0.,0.171,0.086,0.001,0.084,0.042,0.,0.042,0.021,0.,0.021,0.127,0.,0.127,0.,0.,0.,0.063,0.,0.062,0.,0.,0.
74,0.149,0.,0.149,0.082,0.,0.082,0.03,0.,0.03,0.021,0.,0.021,0.115,0.,0.115,0.002,0.,0.002,0.058,0.,0.058,0.001,0.,0.
75,0.149,0.,0.149,0.083,0.,0.083,0.031,0.,0.031,0.018,0.,0.018,0.116,0.,0.116,0.,0.,0.,0.062,0.,0.062,0.001,0.,0.001
76,0.158,0.003,0.154,0.095,0.003,0.091,0.035,0.003,0.031,0.027,0.003,0.023,0.12,0.,0.12,0.,0.,0.,0.065,0.,0.065,0.001,0.,0.001
77,0.162,0.003,0.158,0.093,0.,0.093,0.027,0.,0.027,0.021,0.,0.021,0.132,0.003,0.128,0.001,0.,0.,0.069,0.,0.069,0.001,0.,0.001
