param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
577,,,,,,,0.318,0.003,0.314,,,,,,,,,,,,,,,,,,,,
583,,,,,,,0.362,0.004,0.358,,,,,,,,,,,,,,,,,,,,
585,,,,0.156,0.,0.156,,,,,,,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.,0.011
593,,,,0.154,0.,0.154,,,,,,,,,,,,,,,,,,,,,,,
595,,,,,,,0.301,0.004,0.297,,,,,,,,,,,,,,,,,,,,
602,,,,0.163,0.,0.163,,,,,,,,,,,,,,,,,,,,,,,
610,,,,0.159,0.,0.159,,,,,,,,,,,,,,,,,,,,,,,
613,,,,,,,0.316,0.003,0.312,,,,,,,,,,,,,,,,,,,,
619,,,,0.168,0.,0.168,,,,,,,,,,,,,,,,,,,,,,,
627,,,,0.177,0.,0.177,,,,,,,,,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.,0.013
631,,,,,,,0.342,0.003,0.338,,,,,,,,,,,,,,,,,,,,
636,,,,0.179,0.,0.179,,,,,,,,,,,,,,,,,,,,,,,
644,,,,0.18,0.,0.18,,,,,,,,,,,,,,,,,,,,,,,
649,,,,,,,0.354,0.,0.354,,,,,,,,,,,,,,,,,,,,
653,,,,0.188,0.,0.188,,,,,,,,,,,,,,,,,,,,,,,
662,,,,0.194,0.,0.194,,,,,,,,,,,,,,,,,,,,,,,
667,,,,,,,0.393,0.,0.393,,,,,,,,,,,,,,,,,,,,
668,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.,0.014
670,,,,0.192,0.,0.192,,,,,,,,,,,,,,,,,,,,,,,
679,,,,0.198,0.,0.198,,,,,,,,,,,,,,,,,,,,,,,
684,,,,,,,,,,0.08656,0.00032,0.00324,0.00104,0.091,0.003,0.004,0.08610,0.00034,0.00260,0.00089,0.09,0.004,0.002,,,,,,
685,,,,,,,0.439,0.,0.439,,,,,,,,,,,,,,,,,,,,
687,,,,0.208,0.,0.208,,,,,,,,,,,,,,,,,,,,,,,
696,,,,0.214,0.,0.214,,,,,,,,,,,,,,,,,,,,,,,
