param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
185,1,185,,,,,,,,,,0.11279,0.00030,0.00093,0.00080,0.114,0.,0.005,,,,0.001,0.001,0.,,,,,,,,,
185,185,1,,,,,,,,,,0.11225,0.00030,0.00091,0.00108,0.114,0.,0.005,,,,0.001,0.,0.001,,,,,,,,,
193,1,193,,,,,,,,,,,,,,,,,0.151,0.,0.151,,,,,,,,,,,,
193,193,1,,,,,,,,,,,,,,,,,0.072,0.,0.072,,,,,,,,,,,,
202,1,202,0.163,0.,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,202,1,0.126,0.,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1,203,,,,,,,,,,,,,,,,,0.141,0.,0.141,,,,,,,,,,,,
203,203,1,,,,,,,,,,,,,,,,,0.074,0.002,0.071,,,,,,,,,,,,
210,1,210,0.244,0.019,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,14,15,0.014,0.,0.014,,,,,,,0.11200,0.00030,0.00086,0.00095,0.114,0.,0.005,0.017,0.,0.017,0.001,0.,0.001,,,,,,,,,
210,210,1,0.142,0.,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,214,,,,,,,,,,,,,,,,,0.158,0.,0.158,,,,,,,,,,,,
214,214,1,,,,,,,,,,,,,,,,,0.077,0.,0.077,,,,,,,,,,,,
221,1,221,,,,,,,,,,0.10923,0.00030,0.00091,0.00096,0.111,0.002,0.003,,,,0.001,0.,0.001,,,,,,,,,
221,221,1,,,,,,,,,,0.11317,0.00030,0.00090,0.00129,0.115,0.,0.006,,,,0.001,0.,0.001,,,,,,,,,
224,1,224,0.191,0.,0.191,,,,,,,,,,,,,,0.186,0.,0.186,,,,,,,,,,,,
224,224,1,0.145,0.,0.145,,,,,,,,,,,,,,0.091,0.,0.091,,,,,,,,,,,,
234,1,234,,,,,,,,,,,,,,,,,0.186,0.002,0.183,,,,,,,,,,,,
234,234,1,,,,,,,,,,,,,,,,,0.102,0.,0.102,,,,,,,,,,,,
239,1,239,,,,0.002,0.002,0.,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,
239,239,1,,,,0.001,0.001,0.,0.001,0.001,0.,,,,,,,,,,,,,,,,,,,,,,
240,15,16,0.016,0.,0.016,0.001,0.,0.,0.001,0.,0.,,,,,,,,0.019,0.,0.019,,,,,,,,,,,,
245,1,245,,,,,,,,,,,,,,,,,0.233,0.,0.233,,,,,,,,,,,,
245,245,1,,,,,,,,,,,,,,,,,0.094,0.003,0.09,,,,,,,,,,,,
247,1,247,0.217,0.,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,247,1,0.153,0.,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1,255,,,,,,,,,,,,,,,,,0.222,0.,0.222,,,,,,,,,,,,
255,255,1,,,,,,,,,,,,,,,,,0.091,0.,0.091,,,,,,,,,,,,
257,1,257,,,,,,,,,,0.11209,0.00030,0.00107,0.00114,0.114,0.,0.005,,,,0.001,0.001,0.,,,,,,,,,
