Tactic call type-admit-regression-quadratic ran for 0.025 secs (0.025u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.026 secs (0.026u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.027 secs (0.027u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.032 secs (0.032u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.026 secs (0.026u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.026 secs (0.026u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.25 secs (0.25u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.304 secs (0.304u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.053 secs (0.053u,0.s)
Params: n= 400
Tactic call build-thunk-regression-linear ran for 0.042 secs (0.042u,0.s) (success)
Tactic call eval-thunk-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call build-eval-thunk-regression-linear ran for 0.043 secs (0.043u,0.s) (success)
Tactic call build-I-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-I-regression-linear ran for 0.006 secs (0.006u,0.s) (success)
Tactic call type-I-regression-linear ran for 0.013 secs (0.013u,0.s) (success)
Tactic call build-admit-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-admit-regression-quadratic ran for 0.032 secs (0.032u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.032 secs (0.032u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.033 secs (0.033u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.033 secs (0.033u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.044 secs (0.044u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.033 secs (0.033u,0.s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.033 secs (0.033u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.319 secs (0.319u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.387 secs (0.387u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.067 secs (0.067u,0.s)
