param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
9641,,,,,,,,,,0.09420,0.00034,0.40738,0.01088,0.513,0.004,0.419,0.09266,0.00030,0.43301,0.01290,0.539,0.011,0.443,,,,,,
9952,,,,,,,,,,0.09178,0.00028,0.43361,0.01148,0.537,0.007,0.442,0.09409,0.00051,0.43611,0.01178,0.542,0.004,0.449,,,,,,
10036,,,,,,,,,,,,,,,,,,,,,,,,,,,2.264,0.,2.264
10056,,,,,,,,,,,,,,,,,,,,,,,,,,,2.062,0.,2.062
10263,,,,,,,,,,0.10284,0.00028,0.44071,0.01511,0.559,0.007,0.452,0.10211,0.00029,0.47380,0.01306,0.589,0.015,0.475,,,,,,
10574,,,,,,,,,,0.09717,0.00031,0.47344,0.01325,0.584,0.004,0.488,0.09195,0.00042,0.50010,0.01292,0.605,0.008,0.509,,,,,,
10663,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,0.003,2.535
10885,,,,,,,,,,0.08649,0.00034,0.49748,0.01253,0.597,0.003,0.511,0.08256,0.00029,0.49686,0.01381,0.593,0.011,0.503,,,,,,
11017,,,,,,,,,,0.08197,0.00032,0.47481,0.01352,0.57,0.,0.492,0.08245,0.00034,0.53482,0.01192,0.629,0.016,0.534,,,,,,
11196,,,,,,,,,,0.09554,0.00030,0.53266,0.01523,0.643,0.015,0.536,0.08796,0.00044,0.52943,0.01239,0.63,0.003,0.542,,,,,,
11290,,,,,,,,,,,,,,,,,,,,,,,,,,,2.766,0.,2.766
11507,,,,,,,,,,0.09932,0.00024,0.55130,0.01416,0.665,0.015,0.554,0.08840,0.00041,0.54853,0.01601,0.653,0.004,0.565,,,,,,
11818,,,,,,,,,,0.09284,0.00035,0.59937,0.01443,0.707,0.003,0.614,0.09245,0.00036,0.63198,0.01453,0.739,0.003,0.647,,,,,,
11917,,,,,,,,,,,,,,,,,,,,,,,,,,,3.068,0.,3.067
12544,,,,,,,,,,,,,,,,,,,,,,,,,,,3.542,0.007,3.534
13000,,,,,,,,,,0.09444,0.00035,0.71689,0.01462,0.826,0.003,0.732,0.08853,0.00045,0.78279,0.01662,0.888,0.016,0.788,,,,,,
