param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
68,1,68,,,,,,,,,,,,,,,,,0.024,0.,0.024,,,,,,,,,,,,
68,68,1,,,,,,,,,,,,,,,,,0.01,0.,0.01,,,,,,,,,,,,
72,8,9,0.007,0.,0.007,,,,,,,0.12586,0.00032,0.00087,0.00031,0.127,0.003,0.002,0.005,0.,0.005,0.,0.,0.,,,,,,,,,
74,1,74,0.08,0.,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,74,1,0.039,0.,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,78,,,,,,,,,,0.12519,0.00032,0.00093,0.00033,0.126,0.003,0.002,,,,0.,0.,0.,,,,,,,,,
78,78,1,,,,,,,,,,0.12436,0.00033,0.00090,0.00041,0.126,0.003,0.002,,,,0.,0.,0.,,,,,,,,,
79,1,79,,,,,,,,,,,,,,,,,0.026,0.,0.026,,,,,,,,,,,,
79,79,1,,,,,,,,,,,,,,,,,0.012,0.,0.012,,,,,,,,,,,,
80,1,80,0.094,0.,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,1,0.045,0.,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,86,0.098,0.,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,86,1,0.047,0.,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,89,,,,,,,,,,,,,,,,,0.032,0.,0.032,,,,,,,,,,,,
89,89,1,,,,,,,,,,,,,,,,,0.014,0.,0.014,,,,,,,,,,,,
90,9,10,0.009,0.,0.009,,,,,,,,,,,,,,0.007,0.,0.007,,,,,,,,,,,,
92,1,92,0.105,0.,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,92,1,0.05,0.,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1,98,0.147,0.,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,98,1,0.077,0.,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1,99,,,,,,,,,,,,,,,,,0.037,0.,0.037,,,,,,,,,,,,
99,99,1,,,,,,,,,,,,,,,,,0.018,0.,0.018,,,,,,,,,,,,
104,1,104,0.155,0.,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104,1,0.08,0.,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,110,0.16,0.,0.16,,,,,,,,,,,,,,0.045,0.,0.045,,,,,,,,,,,,
110,10,11,0.011,0.,0.011,,,,,,,0.12493,0.00033,0.00088,0.00044,0.126,0.,0.005,0.008,0.,0.008,0.,0.,0.,,,,,,,,,
110,110,1,0.083,0.,0.083,,,,,,,,,,,,,,0.02,0.,0.02,,,,,,,,,,,,
114,1,114,,,,,,,,,,0.12749,0.00032,0.00092,0.00051,0.129,0.003,0.002,,,,0.056,0.014,0.041,,,,,,,,,
