param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
71,0.109,0.,0.109,0.064,0.,0.064,0.039,0.,0.039,0.024,0.,0.024,0.068,0.,0.068,0.,0.,0.,0.038,0.,0.038,0.,0.,0.
72,0.103,0.,0.103,0.062,0.,0.062,0.033,0.,0.033,0.024,0.,0.024,0.068,0.,0.068,0.,0.,0.,0.036,0.,0.036,0.,0.,0.
73,0.107,0.,0.107,0.062,0.,0.062,0.035,0.,0.035,0.024,0.,0.024,0.07,0.,0.07,0.,0.,0.,0.037,0.,0.037,0.,0.,0.
74,0.113,0.,0.113,0.066,0.,0.066,0.034,0.,0.034,0.025,0.,0.025,0.077,0.,0.077,0.,0.,0.,0.04,0.,0.04,0.,0.,0.
75,0.121,0.,0.121,0.073,0.,0.073,0.037,0.,0.037,0.027,0.,0.027,0.082,0.,0.082,0.,0.,0.,0.044,0.,0.044,0.,0.,0.
76,0.112,0.,0.112,0.071,0.,0.071,0.036,0.,0.036,0.028,0.,0.028,0.074,0.,0.074,0.,0.,0.,0.042,0.,0.042,0.,0.,0.
77,0.119,0.,0.119,0.071,0.,0.071,0.037,0.,0.037,0.028,0.,0.028,0.08,0.,0.08,0.,0.,0.,0.041,0.,0.041,0.,0.,0.
78,0.12,0.,0.12,0.073,0.,0.073,0.038,0.,0.038,0.029,0.,0.029,0.08,0.,0.08,0.,0.,0.,0.042,0.,0.042,0.001,0.,0.001
79,0.121,0.,0.121,0.075,0.,0.075,0.039,0.,0.039,0.031,0.,0.031,0.08,0.,0.08,0.,0.,0.,0.043,0.,0.043,0.,0.,0.
80,0.126,0.003,0.122,0.077,0.,0.077,0.04,0.,0.04,0.031,0.,0.031,0.084,0.003,0.08,0.,0.,0.,0.044,0.,0.044,0.,0.,0.
