param-n pattern-regression-linear-real pattern-regression-linear-sys pattern-regression-linear-user
369 0.007 0. 0.007
370 0.017 0. 0.017
371 0.009 0. 0.009
372 0.008 0. 0.008
373 0.012 0. 0.012
374 0.008 0. 0.008
375 0.008 0. 0.008
376 0.008 0. 0.008
377 0.008 0. 0.008
378 0.013 0. 0.013
379 0.007 0. 0.007
380 0.012 0. 0.012
381 0.008 0. 0.008
382 0.007 0. 0.007
383 0.011 0. 0.011
384 0.011 0. 0.011
385 0.011 0. 0.011
386 0.007 0. 0.007
387 0.009 0. 0.009
388 0.01 0. 0.01
389 0.007 0. 0.007
390 0.007 0. 0.007
391 0.008 0. 0.008
392 0.007 0. 0.007
393 0.01 0. 0.01
394 0.009 0. 0.009
395 0.009 0. 0.009
396 0.008 0. 0.008
397 0.008 0. 0.008
398 0.01 0. 0.01
399 0.007 0. 0.007
400 0.007 0. 0.007
401 0.007 0. 0.007
402 0.009 0. 0.009
403 0.008 0. 0.008
404 0.008 0. 0.008
405 0.008 0. 0.008
406 0.009 0. 0.009
407 0.009 0. 0.009
408 0.007 0. 0.007
409 0.01 0. 0.01
410 0.008 0. 0.008
411 0.007 0. 0.007
412 0.007 0. 0.007
413 0.008 0. 0.008
414 0.008 0. 0.008
415 0.008 0. 0.008
416 0.01 0. 0.01
417 0.007 0. 0.007
418 0.008 0. 0.008
419 0.008 0. 0.008
420 0.008 0. 0.008
421 0.008 0. 0.008
422 0.011 0. 0.011
423 0.009 0. 0.009
424 0.01 0. 0.01
425 0.011 0. 0.011
426 0.008 0. 0.007
427 0.008 0. 0.008
428 0.008 0. 0.008
429 0.01 0. 0.01
430 0.008 0. 0.008
431 0.009 0. 0.009
432 0.009 0. 0.009
433 0.009 0. 0.009
434 0.009 0. 0.009
435 0.01 0. 0.01
436 0.008 0. 0.008
437 0.008 0. 0.008
438 0.01 0. 0.01
439 0.009 0. 0.009
440 0.008 0. 0.008
441 0.009 0. 0.009
442 0.011 0. 0.011
443 0.009 0. 0.009
444 0.009 0. 0.009
445 0.008 0. 0.008
446 0.011 0. 0.011
447 0.009 0. 0.009
448 0.008 0. 0.008
449 0.009 0. 0.009
450 0.008 0. 0.008
451 0.01 0. 0.01
452 0.008 0. 0.008
453 0.01 0. 0.01
454 0.009 0. 0.009
455 0.01 0. 0.01
456 0.008 0. 0.008
457 0.009 0. 0.009
458 0.009 0. 0.009
459 0.01 0. 0.01
460 0.011 0. 0.011
461 0.013 0. 0.013
462 0.01 0. 0.01
463 0.015 0. 0.015
464 0.01 0. 0.01
465 0.01 0. 0.01
466 0.01 0. 0.01
467 0.011 0. 0.011
468 0.009 0. 0.009
469 0.009 0. 0.009
470 0.009 0. 0.009
471 0.011 0. 0.011
472 0.009 0. 0.009
473 0.009 0. 0.009
474 0.01 0. 0.01
475 0.01 0. 0.01
476 0.009 0. 0.009
477 0.009 0. 0.009
478 0.009 0. 0.009
479 0.011 0. 0.011
480 0.009 0. 0.009
481 0.009 0. 0.009
482 0.009 0. 0.009
483 0.009 0. 0.009
484 0.009 0. 0.009
485 0.009 0. 0.009
486 0.009 0. 0.009
487 0.011 0. 0.011
488 0.009 0. 0.009
489 0.009 0. 0.009
490 0.009 0. 0.009
491 0.009 0. 0.009
492 0.009 0. 0.009
493 0.009 0. 0.009
494 0.011 0. 0.011
495 0.009 0. 0.009
496 0.009 0. 0.009
497 0.009 0. 0.009
498 0.012 0. 0.012
499 0.009 0. 0.009
500 0.011 0. 0.011
600 0.019 0.015 0.003
800 0.067 0.004 0.062
1000 0.019 0. 0.019
1200 0.026 0. 0.026
1400 0.033 0. 0.033
1600 0.031 0. 0.031
1800 0.035 0. 0.035
2000 0.042 0. 0.042
2200 0.054 0. 0.054
2400 0.054 0.003 0.05
2600 0.071 0. 0.071
2800 0.068 0. 0.068
3000 0.07 0. 0.07
3200 0.085 0. 0.085
3400 0.099 0. 0.099
3600 0.11 0. 0.11
3800 0.097 0. 0.097
4000 0.099 0.003 0.095
4200 0.118 0. 0.118
4400 0.118 0.003 0.113
4600 0.114 0. 0.114
4800 0.112 0. 0.112
5000 0.121 0. 0.121
5200 0.144 0.003 0.14
5400 0.158 0. 0.158
5600 0.144 0.003 0.14
5800 0.161 0.003 0.157
6000 0.137 0. 0.137
6200 0.136 0. 0.136
6400 0.147 0. 0.147
6600 0.17 0. 0.17
6800 0.183 0. 0.183
7000 0.169 0. 0.169
7200 0.175 0. 0.175
7400 0.172 0. 0.172
7600 0.173 0. 0.173
7800 0.173 0. 0.173
8000 0.187 0. 0.187
8200 0.196 0. 0.196
8400 0.197 0. 0.197
8600 0.209 0. 0.209
8800 0.224 0. 0.224
9000 0.23 0. 0.23
9200 0.243 0. 0.243
9400 0.251 0. 0.251
9600 0.276 0. 0.276
9800 0.273 0. 0.273
10000 0.278 0. 0.278
10200 0.293 0. 0.293
10400 0.282 0. 0.282
10600 0.304 0. 0.304
10800 0.295 0. 0.295
11000 0.329 0.003 0.325
11200 0.35 0. 0.35
11400 0.347 0. 0.347
11600 0.358 0. 0.358
11800 0.364 0. 0.364
12000 0.356 0. 0.356
12200 0.368 0. 0.367
12400 0.37 0. 0.369
12600 0.37 0. 0.37
12800 0.373 0. 0.373
13000 0.376 0. 0.376
13200 0.402 0. 0.402
13400 0.404 0. 0.404
13600 0.403 0. 0.403
13800 0.406 0. 0.406
14000 0.415 0. 0.415
14200 0.414 0. 0.414
14400 0.414 0. 0.414
14600 0.43 0. 0.43
14800 0.412 0. 0.412
15000 0.397 0. 0.397
15200 0.392 0. 0.392
15400 0.439 0. 0.439
15600 0.424 0. 0.424
15800 0.395 0. 0.395
16000 0.398 0. 0.398
16200 0.422 0. 0.422
16400 0.427 0. 0.427
16600 0.427 0. 0.427
16800 0.442 0. 0.442
17000 0.46 0. 0.46
17200 0.474 0. 0.474
17400 0.489 0.004 0.484
17600 0.508 0. 0.508
17800 0.532 0. 0.532
18000 0.533 0.003 0.529
18200 0.549 0. 0.549
18400 0.558 0. 0.557
18600 0.589 0. 0.589
18800 0.606 0. 0.606
19000 0.644 0. 0.643
19200 0.64 0. 0.64
19400 0.653 0. 0.653
19600 0.663 0. 0.663
19800 0.688 0. 0.688
20000 0.689 0. 0.689
