param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2956,,,,,,,,,,0.181,0.,0.181,0.129,0.,0.129,,,,,,
2980,,,,,,,,,,,,,,,,,,,0.139,0.,0.139
3019,,,,,,,,,,,,,,,,,,,0.132,0.,0.132
3059,,,,,,,,,,,,,,,,,,,0.136,0.,0.136
3070,,,,,,,,,,0.139,0.,0.139,0.17,0.,0.17,,,,,,
3098,,,,,,,,,,,,,,,,,,,0.151,0.,0.151
3137,,,,,,,,,,,,,,,,,,,0.144,0.,0.144
3183,,,,,,,,,,0.149,0.,0.149,0.152,0.,0.151,,,,,,
3241,,,,,,,6.627,0.035,6.59,,,,,,,,,,,,
3268,,,,,,,,,,,,,,,,,,,0.155,0.,0.155
3297,,,,,,,,,,0.159,0.,0.159,0.165,0.,0.165,,,,,,
3398,,,,,,,,,,,,,,,,,,,0.167,0.,0.167
3410,,,,,,,,,,0.171,0.,0.17,0.179,0.,0.179,,,,,,
3416,,,,3.203,0.,3.203,,,,,,,,,,,,,,,
3524,,,,,,,,,,0.181,0.,0.181,0.194,0.,0.194,,,,,,
3529,,,,,,,,,,,,,,,,,,,0.265,0.,0.265
3601,,,,,,,8.087,0.032,8.052,,,,,,,,,,,,
3638,,,,,,,,,,0.192,0.,0.192,0.195,0.,0.195,,,,,,
3660,,,,,,,,,,,,,,,,,,,0.193,0.,0.193
3674,,,,,,,,,,0.194,0.004,0.189,0.212,0.,0.21,,,,,,
3751,,,,,,,,,,0.203,0.,0.203,0.296,0.,0.296,,,,,,
3790,,,,,,,,,,,,,,,,,,,0.253,0.,0.253
3865,,,,,,,,,,0.217,0.,0.217,0.266,0.,0.266,,,,,,
3921,,,,,,,,,,,,,,,,,,,0.22,0.,0.22
3979,,,,,,,,,,0.228,0.,0.228,0.264,0.,0.264,,,,,,
3985,,,,4.312,0.,4.312,,,,,,,,,,,,,,,
4024,,,,,,,,,,,,,,,,,,,0.248,0.,0.248
4052,,,,,,,,,,,,,,,,,,,0.26,0.,0.26
4092,,,,,,,,,,0.24,0.,0.239,0.242,0.,0.242,,,,,,
4182,,,,,,,,,,,,,,,,,,,0.249,0.,0.249
4206,,,,,,,,,,0.254,0.,0.254,0.257,0.003,0.253,,,,,,
4313,,,,,,,,,,,,,,,,,,,0.263,0.,0.263
4319,,,,,,,,,,0.266,0.,0.266,0.269,0.,0.269,,,,,,
4433,,,,,,,,,,0.28,0.,0.28,0.282,0.,0.281,,,,,,
4444,,,,,,,,,,,,,,,,,,,0.28,0.,0.28
