param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
135,135,1,0.028,0.,0.028,,,,,,,,,,,,,,,,,,,,,,,,
141,1,141,,,,,,,,,,,,,0.037,0.,0.037,,,,,,,,,,,,
141,141,1,,,,,,,,,,,,,0.017,0.,0.017,,,,,,,,,,,,
150,1,150,,,,,,,,,,0.001,0.,0.001,,,,0.,0.,0.,,,,,,,,,
150,150,1,,,,,,,,,,0.001,0.,0.001,,,,0.,0.,0.,,,,,,,,,
151,1,151,,,,,,,,,,,,,0.041,0.,0.041,,,,,,,,,,,,
151,151,1,,,,,,,,,,,,,0.019,0.,0.019,,,,,,,,,,,,
156,12,13,0.009,0.,0.009,,,,,,,0.,0.,0.,0.007,0.,0.007,0.,0.,0.,,,,,,,,,
157,1,157,0.056,0.,0.056,,,,,,,,,,,,,,,,,,,,,,,,
157,157,1,0.037,0.,0.037,,,,,,,,,,,,,,,,,,,,,,,,
162,1,162,,,,,,,,,,,,,0.045,0.,0.045,,,,,,,,,,,,
162,162,1,,,,,,,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
172,1,172,,,,,,,,,,,,,0.047,0.,0.047,,,,,,,,,,,,
172,172,1,,,,,,,,,,,,,0.027,0.,0.027,,,,,,,,,,,,
180,1,180,0.071,0.,0.071,,,,,,,,,,,,,,,,,,,,,,,,
180,180,1,0.046,0.,0.046,,,,,,,,,,,,,,,,,,,,,,,,
181,1,181,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
181,181,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
182,1,182,,,,,,,,,,,,,0.052,0.,0.052,,,,,,,,,,,,
182,13,14,0.009,0.,0.009,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.008,0.,0.008,0.,0.,0.,,,,,,,,,
182,182,1,,,,,,,,,,,,,0.023,0.,0.023,,,,,,,,,,,,
185,1,185,,,,,,,,,,0.001,0.,0.001,,,,0.,0.,0.,,,,,,,,,
185,185,1,,,,,,,,,,0.001,0.,0.001,,,,0.001,0.,0.001,,,,,,,,,
193,1,193,,,,,,,,,,,,,0.059,0.,0.059,,,,,,,,,,,,
193,193,1,,,,,,,,,,,,,0.031,0.,0.031,,,,,,,,,,,,
202,1,202,0.157,0.,0.157,,,,,,,,,,,,,,,,,,,,,,,,
202,202,1,0.097,0.,0.097,,,,,,,,,,,,,,,,,,,,,,,,
203,1,203,,,,,,,,,,,,,0.072,0.,0.072,,,,,,,,,,,,
203,203,1,,,,,,,,,,,,,0.034,0.,0.034,,,,,,,,,,,,
210,1,210,0.147,0.01,0.136,,,,,,,,,,,,,,,,,,,,,,,,
210,14,15,0.024,0.,0.024,,,,,,,0.001,0.,0.001,0.01,0.,0.01,0.001,0.,0.001,,,,,,,,,
210,210,1,0.062,0.,0.062,,,,,,,,,,,,,,,,,,,,,,,,
214,1,214,,,,,,,,,,,,,0.073,0.,0.073,,,,,,,,,,,,
214,214,1,,,,,,,,,,,,,0.036,0.,0.036,,,,,,,,,,,,
221,1,221,,,,,,,,,,0.001,0.,0.001,,,,0.001,0.,0.001,,,,,,,,,
221,221,1,,,,,,,,,,0.001,0.,0.001,,,,0.001,0.,0.001,,,,,,,,,
224,1,224,0.12,0.,0.12,,,,,,,,,,0.08,0.,0.08,,,,,,,,,,,,
224,224,1,0.07,0.,0.07,,,,,,,,,,0.04,0.,0.04,,,,,,,,,,,,
234,1,234,,,,,,,,,,,,,0.085,0.,0.085,,,,,,,,,,,,
234,234,1,,,,,,,,,,,,,0.104,0.,0.104,,,,,,,,,,,,
239,1,239,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
239,239,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
240,15,16,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,,,,0.011,0.,0.011,,,,,,,,,,,,
245,1,245,,,,,,,,,,,,,0.091,0.,0.091,,,,,,,,,,,,
245,245,1,,,,,,,,,,,,,0.044,0.,0.044,,,,,,,,,,,,
247,1,247,0.121,0.,0.121,,,,,,,,,,,,,,,,,,,,,,,,
247,247,1,0.073,0.,0.073,,,,,,,,,,,,,,,,,,,,,,,,
255,1,255,,,,,,,,,,,,,0.097,0.,0.097,,,,,,,,,,,,
255,255,1,,,,,,,,,,,,,0.074,0.,0.074,,,,,,,,,,,,
257,1,257,,,,,,,,,,0.001,0.,0.001,,,,0.001,0.,0.001,,,,,,,,,
257,257,1,,,,,,,,,,0.001,0.001,0.,,,,0.001,0.,0.001,,,,,,,,,
269,1,269,0.15,0.,0.15,,,,,,,,,,,,,,,,,,,,,,,,
269,269,1,0.102,0.,0.102,,,,,,,,,,,,,,,,,,,,,,,,
272,16,17,0.014,0.,0.014,,,,,,,0.001,0.001,0.,,,,0.001,0.001,0.,,,,,,,,,
291,1,291,,,,,,,,,,,,,0.125,0.,0.125,,,,,,,,,,,,
291,291,1,,,,,,,,,,,,,0.065,0.,0.065,,,,,,,,,,,,
293,1,293,,,,,,,,,,0.001,0.,0.001,,,,0.001,0.001,0.,,,,,,,,,
293,293,1,,,,,,,,,,0.001,0.,0.001,,,,0.002,0.,0.002,,,,,,,,,
297,1,297,,,,0.,0.,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
297,297,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
306,17,18,,,,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.015,0.,0.015,0.001,0.,0.,,,,,,,,,
307,1,307,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,
307,307,1,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,
328,1,328,,,,,,,,,,,,,0.168,0.,0.168,,,,,,,,,,,,
328,328,1,,,,,,,,,,,,,0.074,0.,0.074,,,,,,,,,,,,
329,1,329,,,,,,,,,,0.001,0.,0.001,,,,0.001,0.,0.001,,,,,,,,,
329,329,1,,,,,,,,,,0.001,0.,0.001,,,,0.001,0.,0.001,,,,,,,,,
336,1,336,0.211,0.,0.211,,,,,,,,,,,,,,,,,,,,,,,,
336,336,1,0.144,0.,0.144,,,,,,,,,,,,,,,,,,,,,,,,
342,18,19,0.018,0.,0.018,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.017,0.,0.017,0.001,0.,0.001,,,,,,,,,
355,1,355,,,,0.001,0.001,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
355,355,1,,,,0.,0.,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
364,1,364,,,,,,,,,,,,,0.182,0.,0.182,,,,,,,,,,,,
364,364,1,,,,,,,,,,,,,0.082,0.,0.082,,,,,,,,,,,,
365,1,365,,,,,,,,,,0.001,0.,0.001,,,,0.001,0.,0.001,,,,,,,,,
365,365,1,,,,,,,,,,0.001,0.,0.001,,,,0.001,0.,0.001,,,,,,,,,
380,19,20,,,,,,,,,,0.001,0.,0.001,0.019,0.,0.019,0.001,0.,0.001,,,,,,,,,
400,1,400,,,,,,,,,,,,,0.224,0.,0.224,,,,,,,,,,,,
400,20,20,,,,,,,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
400,400,1,,,,,,,,,,,,,0.124,0.,0.124,,,,,,,,,,,,
401,1,401,,,,,,,,,,0.002,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
401,401,1,,,,,,,,,,0.002,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
402,1,402,,,,,,,,,,,,,0.286,0.019,0.266,,,,,,,,,,,,
402,402,1,,,,,,,,,,,,,0.119,0.,0.119,,,,,,,,,,,,
404,1,404,0.319,0.,0.319,,,,,,,,,,,,,,,,,,,,,,,,
404,404,1,0.236,0.003,0.232,,,,,,,,,,,,,,,,,,,,,,,,
413,1,413,,,,0.001,0.,0.001,0.001,0.001,0.,,,,,,,,,,,,,,,,,,
413,413,1,,,,0.001,0.,0.001,0.001,0.001,0.,,,,,,,,,,,,,,,,,,
414,1,414,0.33,0.,0.33,,,,,,,,,,,,,,,,,,,,,,,,
414,414,1,0.345,0.,0.345,,,,,,,,,,,,,,,,,,,,,,,,
420,20,21,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.037,0.,0.037,0.001,0.,0.001,,,,,,,,,
436,1,436,,,,,,,,,,,,,0.258,0.,0.258,,,,,,,,,,,,
436,436,1,,,,,,,,,,,,,0.138,0.,0.138,,,,,,,,,,,,
437,1,437,,,,,,,,,,0.002,0.,0.002,,,,0.001,0.,0.001,,,,,,,,,
437,437,1,,,,,,,,,,0.003,0.,0.003,,,,0.002,0.002,0.,,,,,,,,,
462,21,22,0.026,0.,0.026,0.,0.,0.,0.001,0.,0.001,0.003,0.,0.003,0.025,0.,0.025,0.001,0.,0.001,,,,,,,,,
471,1,471,0.405,0.,0.405,,,,,,,,,,,,,,,,,,,,,,,,
471,471,1,0.273,0.,0.273,,,,,,,,,,,,,,,,,,,,,,,,
472,1,472,,,,0.045,0.,0.045,0.001,0.,0.,0.003,0.,0.003,,,,0.001,0.,0.001,,,,,,,,,
472,472,1,,,,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,,,,0.002,0.,0.002,,,,,,,,,
473,1,473,,,,,,,,,,,,,0.297,0.,0.297,,,,,,,,,,,,
473,473,1,,,,,,,,,,,,,0.142,0.,0.142,,,,,,,,,,,,
506,22,23,,,,,,,,,,0.026,0.,0.026,0.029,0.,0.029,0.002,0.,0.002,,,,,,,,,
508,1,508,,,,,,,,,,0.003,0.,0.003,,,,0.016,0.,0.016,,,,,,,,,
508,508,1,,,,,,,,,,0.004,0.,0.004,,,,0.002,0.,0.002,,,,,,,,,
509,1,509,,,,,,,,,,,,,0.403,0.,0.403,,,,,,,,,,,,
509,509,1,,,,,,,,,,,,,0.182,0.,0.182,,,,,,,,,,,,
530,1,530,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
530,530,1,,,,0.,0.,0.,0.001,0.,0.,,,,,,,,,,,,,,,,,,
538,1,538,0.541,0.,0.541,,,,,,,,,,,,,,,,,,,,,,,,
538,538,1,0.394,0.,0.394,,,,,,,,,,,,,,,,,,,,,,,,
544,1,544,,,,,,,,,,0.003,0.,0.003,,,,0.002,0.,0.002,,,,,,,,,
544,544,1,,,,,,,,,,0.004,0.,0.004,,,,0.002,0.,0.002,,,,,,,,,
552,23,24,0.032,0.,0.032,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,,,,0.002,0.,0.002,,,,,,,,,
580,1,580,,,,,,,,,,0.003,0.,0.003,,,,0.002,0.,0.002,,,,,,,,,
580,580,1,,,,,,,,,,0.004,0.,0.004,,,,0.003,0.,0.003,,,,,,,,,
588,1,588,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
588,588,1,,,,0.,0.,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
600,24,25,,,,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,,,,0.002,0.,0.002,,,,,,,,,
609,1,609,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
609,609,1,,,,,,,,,,0.004,0.,0.004,,,,,,,,,,,,,,,
616,1,616,,,,,,,,,,0.003,0.,0.003,,,,0.002,0.,0.002,,,,,,,,,
616,616,1,,,,,,,,,,0.004,0.,0.004,,,,0.003,0.,0.003,,,,,,,,,
636,1,636,,,,,,,,,,,,,0.471,0.,0.471,,,,,,,,,,,,
636,636,1,,,,,,,,,,,,,0.231,0.,0.231,,,,,,,,,,,,
646,1,646,,,,0.001,0.001,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
646,646,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
650,25,26,,,,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.038,0.,0.038,0.002,0.,0.002,,,,,,,,,
652,1,652,,,,,,,,,,0.004,0.,0.004,,,,0.002,0.,0.002,,,,,,,,,
652,652,1,,,,,,,,,,0.008,0.,0.008,,,,0.004,0.,0.004,,,,,,,,,
688,1,688,,,,,,,,,,0.004,0.,0.004,,,,0.002,0.,0.002,,,,,,,,,
688,688,1,,,,,,,,,,0.005,0.,0.005,,,,0.003,0.,0.003,,,,,,,,,
702,26,27,,,,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,,,,0.002,0.,0.002,,,,,,,,,
704,1,704,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
704,704,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
724,1,724,,,,,,,,,,0.004,0.,0.004,,,,0.002,0.,0.002,,,,,,,,,
724,724,1,,,,,,,,,,0.006,0.,0.006,,,,0.003,0.,0.003,,,,,,,,,
756,27,28,,,,0.,0.,0.,0.015,0.,0.015,0.004,0.,0.005,0.044,0.,0.044,0.003,0.,0.003,,,,,,,,,
760,1,760,,,,,,,,,,0.004,0.,0.005,,,,0.003,0.,0.003,,,,,,,,,
760,760,1,,,,,,,,,,0.004,0.,0.004,,,,0.003,0.,0.003,,,,,,,,,
762,1,762,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
762,762,1,,,,0.015,0.,0.015,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
