param-n,pattern-regression-linear-real,pattern-regression-linear-sys,pattern-regression-linear-user
357,0.006,0.,0.006
358,0.006,0.,0.006
359,0.006,0.,0.006
360,0.006,0.,0.006
361,0.007,0.,0.007
362,0.006,0.,0.006
363,0.006,0.,0.006
364,0.006,0.,0.006
365,0.006,0.,0.006
366,0.006,0.,0.006
367,0.006,0.,0.006
368,0.006,0.,0.006
369,0.006,0.,0.006
370,0.006,0.,0.006
371,0.007,0.,0.007
372,0.006,0.,0.006
373,0.006,0.,0.006
374,0.006,0.,0.006
375,0.006,0.,0.006
376,0.006,0.,0.006
377,0.006,0.,0.006
378,0.006,0.,0.006
379,0.006,0.,0.006
380,0.006,0.,0.006
381,0.006,0.001,0.005
382,0.006,0.,0.006
383,0.006,0.,0.006
384,0.006,0.,0.006
385,0.006,0.,0.006
386,0.006,0.,0.006
387,0.006,0.,0.006
388,0.006,0.,0.006
389,0.006,0.,0.006
390,0.007,0.,0.007
391,0.006,0.,0.006
392,0.006,0.,0.006
393,0.006,0.,0.006
394,0.007,0.,0.007
395,0.006,0.,0.006
396,0.006,0.,0.006
397,0.007,0.,0.007
398,0.006,0.,0.006
399,0.007,0.,0.007
400,0.006,0.,0.006
401,0.007,0.,0.007
402,0.006,0.,0.006
403,0.007,0.,0.007
404,0.006,0.,0.006
405,0.007,0.,0.007
406,0.006,0.,0.006
407,0.006,0.,0.006
408,0.006,0.,0.006
409,0.007,0.,0.007
410,0.007,0.,0.007
411,0.007,0.,0.007
412,0.007,0.,0.007
413,0.007,0.,0.007
414,0.007,0.,0.007
415,0.007,0.,0.007
416,0.008,0.,0.008
417,0.007,0.,0.007
418,0.007,0.,0.007
419,0.007,0.,0.007
420,0.007,0.,0.007
421,0.007,0.,0.007
422,0.007,0.,0.007
423,0.007,0.,0.007
424,0.007,0.,0.007
425,0.008,0.,0.008
426,0.007,0.,0.007
427,0.007,0.,0.007
428,0.007,0.,0.007
429,0.007,0.,0.007
430,0.007,0.,0.007
431,0.007,0.,0.007
432,0.007,0.,0.007
433,0.008,0.003,0.004
434,0.007,0.,0.007
435,0.007,0.,0.007
436,0.007,0.,0.007
437,0.008,0.,0.008
438,0.007,0.,0.007
439,0.007,0.,0.007
440,0.007,0.,0.007
441,0.008,0.,0.008
442,0.007,0.,0.007
443,0.007,0.,0.007
444,0.007,0.,0.007
445,0.008,0.,0.008
446,0.007,0.,0.007
447,0.007,0.,0.007
448,0.007,0.,0.007
449,0.008,0.,0.008
450,0.007,0.,0.007
451,0.007,0.,0.007
452,0.007,0.,0.007
453,0.008,0.,0.008
454,0.007,0.,0.007
455,0.007,0.,0.007
456,0.007,0.,0.007
457,0.009,0.,0.009
458,0.007,0.,0.007
459,0.008,0.,0.008
460,0.007,0.002,0.005
461,0.008,0.,0.008
462,0.008,0.,0.008
463,0.008,0.,0.008
464,0.007,0.,0.007
465,0.009,0.,0.009
466,0.007,0.,0.007
467,0.008,0.,0.008
468,0.007,0.,0.007
469,0.007,0.,0.007
470,0.007,0.,0.007
471,0.007,0.,0.007
472,0.009,0.,0.009
473,0.007,0.,0.007
474,0.007,0.,0.007
475,0.008,0.,0.008
476,0.009,0.,0.009
477,0.008,0.,0.008
478,0.008,0.,0.008
479,0.008,0.,0.008
480,0.009,0.,0.009
481,0.008,0.,0.008
482,0.008,0.,0.008
483,0.008,0.,0.008
484,0.008,0.,0.008
485,0.008,0.,0.008
486,0.008,0.,0.008
487,0.01,0.,0.01
488,0.008,0.,0.008
489,0.008,0.,0.008
490,0.008,0.,0.008
491,0.009,0.,0.009
492,0.008,0.,0.008
493,0.008,0.,0.008
494,0.008,0.,0.008
495,0.008,0.,0.008
496,0.008,0.,0.008
497,0.008,0.,0.008
498,0.008,0.,0.008
499,0.008,0.,0.008
500,0.008,0.,0.008
600,0.017,0.012,0.005
800,0.057,0.008,0.049
1000,0.017,0.001,0.016
1200,0.022,0.003,0.019
1400,0.095,0.,0.095
1600,0.029,0.,0.029
1800,0.046,0.,0.046
2000,0.038,0.004,0.033
2200,0.038,0.,0.038
2400,0.044,0.,0.044
2600,0.058,0.,0.058
2800,0.06,0.003,0.057
3000,0.056,0.,0.056
3200,0.136,0.,0.136
3400,0.075,0.,0.075
3600,0.063,0.,0.063
3800,0.083,0.,0.083
4000,0.096,0.003,0.092
4200,0.093,0.,0.093
4400,0.083,0.,0.083
4600,0.087,0.,0.087
4800,0.102,0.,0.102
5000,0.103,0.003,0.099
5200,0.11,0.,0.11
5400,0.129,0.008,0.121
5600,0.117,0.007,0.109
5800,0.115,0.,0.115
6000,0.111,0.,0.111
6200,0.115,0.,0.115
6400,0.133,0.,0.133
6600,0.133,0.,0.132
6800,0.133,0.,0.133
7000,0.134,0.,0.134
7200,0.135,0.,0.135
7400,0.133,0.,0.133
7600,0.136,0.,0.136
7800,0.147,0.,0.147
8000,0.153,0.,0.153
8200,0.156,0.,0.156
8400,0.165,0.,0.165
8600,0.175,0.,0.175
8800,0.187,0.,0.187
9000,0.196,0.,0.196
9200,0.205,0.,0.205
9400,0.217,0.,0.217
9600,0.217,0.,0.217
9800,0.218,0.,0.218
10000,0.219,0.,0.219
10200,0.222,0.,0.222
10400,0.231,0.,0.231
10600,0.258,0.,0.258
10800,0.263,0.,0.263
11000,0.272,0.,0.272
11200,0.277,0.,0.276
11400,0.277,0.,0.277
11600,0.277,0.,0.277
11800,0.286,0.,0.286
12000,0.287,0.,0.287
12200,0.294,0.,0.294
12400,0.295,0.,0.295
12600,0.305,0.,0.305
12800,0.32,0.,0.32
13000,0.322,0.,0.322
13200,0.323,0.,0.323
13400,0.33,0.,0.33
13600,0.33,0.,0.33
13800,0.332,0.,0.332
14000,0.339,0.,0.339
14200,0.338,0.,0.338
14400,0.331,0.,0.331
14600,0.323,0.,0.323
14800,0.356,0.,0.356
15000,0.338,0.,0.336
15200,0.31,0.,0.31
15400,0.3,0.,0.3
15600,0.322,0.,0.322
15800,0.328,0.,0.328
16000,0.337,0.,0.337
16200,0.344,0.,0.344
16400,0.352,0.,0.352
16600,0.367,0.,0.367
16800,0.384,0.,0.384
17000,0.398,0.,0.398
17200,0.405,0.,0.405
17400,0.42,0.,0.42
17600,0.435,0.,0.435
17800,0.445,0.,0.445
18000,0.465,0.,0.465
18200,0.473,0.,0.473
18400,0.49,0.003,0.485
18600,0.503,0.,0.503
18800,0.516,0.,0.516
19000,0.527,0.,0.527
19200,0.53,0.,0.53
19400,0.526,0.,0.526
19600,0.525,0.,0.525
19800,0.524,0.,0.524
20000,0.525,0.,0.525
