param-n abstract+repeat-rewrite-strat-bottomup-regression-cubic-real abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys abstract+repeat-rewrite-strat-bottomup-regression-cubic-user abstract+repeat-rewrite-strat-topdown-regression-cubic-real abstract+repeat-rewrite-strat-topdown-regression-cubic-sys abstract+repeat-rewrite-strat-topdown-regression-cubic-user close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user noop-repeat-rewrite-strat-bottomup-regression-cubic-real noop-repeat-rewrite-strat-bottomup-regression-cubic-sys noop-repeat-rewrite-strat-bottomup-regression-cubic-user noop-repeat-rewrite-strat-topdown-regression-cubic-real noop-repeat-rewrite-strat-topdown-regression-cubic-sys noop-repeat-rewrite-strat-topdown-regression-cubic-user repeat-rewrite-strat-bottomup-regression-cubic-real repeat-rewrite-strat-bottomup-regression-cubic-sys repeat-rewrite-strat-bottomup-regression-cubic-user repeat-rewrite-strat-topdown-regression-cubic-real repeat-rewrite-strat-topdown-regression-cubic-sys repeat-rewrite-strat-topdown-regression-cubic-user
10 0.164 0.028 0.136 0.164 0.016 0.148 0.005 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.004 0. 0.004 0.154 0.027 0.126 0.155 0.015 0.139
11 0.112 0. 0.112 0.11 0. 0.11 0.004 0. 0.004 0.004 0. 0.004 0.005 0. 0.005 0.005 0. 0.005 0.102 0. 0.102 0.099 0. 0.099
12 0.137 0. 0.137 0.132 0. 0.132 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.005 0. 0.005 0.125 0. 0.125 0.12 0. 0.12
13 0.161 0. 0.161 0.16 0. 0.16 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006 0.006 0. 0.006 0.147 0. 0.147 0.147 0. 0.146
14 0.194 0. 0.194 0.19 0. 0.19 0.007 0. 0.007 0.008 0. 0.008 0.007 0. 0.007 0.007 0. 0.007 0.179 0. 0.179 0.174 0. 0.174
15 0.233 0. 0.233 0.229 0. 0.229 0.007 0. 0.007 0.007 0. 0.007 0.008 0. 0.008 0.008 0. 0.008 0.216 0. 0.216 0.212 0. 0.212
16 0.271 0. 0.271 0.265 0.003 0.261 0.008 0. 0.008 0.008 0. 0.008 0.009 0. 0.009 0.009 0. 0.009 0.252 0. 0.252 0.247 0.003 0.243
17 0.313 0. 0.313 0.314 0. 0.314 0.009 0. 0.009 0.009 0. 0.009 0.01 0. 0.01 0.01 0. 0.01 0.293 0. 0.293 0.294 0. 0.294
18 0.368 0. 0.368 0.358 0.003 0.355 0.01 0. 0.01 0.01 0. 0.01 0.011 0. 0.011 0.011 0. 0.011 0.346 0. 0.346 0.336 0.003 0.333
19 0.432 0. 0.432 0.418 0. 0.418 0.011 0. 0.011 0.011 0. 0.011 0.012 0. 0.012 0.012 0. 0.012 0.408 0. 0.408 0.394 0. 0.394
20 0.487 0. 0.487 0.488 0. 0.488 0.012 0. 0.012 0.012 0. 0.012 0.014 0. 0.014 0.015 0. 0.015 0.46 0. 0.46 0.46 0. 0.46
21 0.56 0. 0.56 0.559 0.003 0.555 0.013 0. 0.013 0.013 0. 0.013 0.015 0. 0.015 0.015 0. 0.015 0.53 0. 0.53 0.529 0.003 0.525
22 0.645 0.003 0.641 0.635 0. 0.635 0.015 0. 0.015 0.014 0. 0.014 0.017 0. 0.017 0.017 0. 0.017 0.612 0.003 0.609 0.603 0. 0.603
23 0.734 0. 0.734 0.731 0. 0.73 0.015 0. 0.015 0.014 0. 0.014 0.019 0. 0.019 0.018 0. 0.018 0.699 0. 0.699 0.696 0. 0.696
24 0.834 0. 0.834 0.832 0. 0.831 0.016 0. 0.016 0.015 0. 0.015 0.02 0. 0.02 0.02 0. 0.02 0.796 0. 0.796 0.795 0. 0.794
25 0.95 0. 0.95 0.939 0. 0.939 0.018 0. 0.018 0.017 0. 0.017 0.022 0. 0.022 0.023 0. 0.023 0.909 0. 0.909 0.898 0. 0.898
30 1.706 0.003 1.703 1.701 0. 1.701 0.025 0. 0.025 0.026 0. 0.026 0.034 0. 0.034 0.034 0. 0.034 1.646 0.003 1.642 1.64 0. 1.64
35 2.851 0.003 2.847 2.839 0.004 2.834 0.03 0. 0.03 0.032 0. 0.032 0.053 0. 0.053 0.049 0. 0.049 2.767 0.003 2.763 2.756 0.003 2.751
40 4.578 0. 4.577 4.558 0. 4.557 0.04 0. 0.04 0.042 0. 0.042 0.072 0. 0.072 0.072 0. 0.072 4.464 0. 4.464 4.443 0. 4.442
45 6.935 0.003 6.929 6.906 0.007 6.896 0.048 0. 0.048 0.048 0. 0.048 0.095 0. 0.095 0.095 0. 0.095 6.791 0.003 6.785 6.762 0.007 6.752
50 10.159 0. 10.158 10.14 0.003 10.133 0.058 0. 0.058 0.058 0. 0.058 0.126 0. 0.126 0.13 0. 0.129 9.973 0. 9.972 9.952 0.003 9.945
