param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
1138,,,,,,,,,,0.092,0.,0.012,0.105,0.003,0.009,,,,0.029,0.,0.029
1146,,,,0.533,0.,0.533,,,,,,,,,,,,,,,
1164,,,,,,,1.278,0.027,1.25,,,,,,,,,,,,
1171,,,,,,,1.231,0.,1.231,,,,,,,,,,,,
1177,,,,0.544,0.,0.544,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,0.03,0.,0.03
1208,,,,0.571,0.,0.571,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,0.035,0.,0.035
1239,,,,0.603,0.,0.603,,,,,,,,,,,,,,,
1252,,,,,,,,,,0.115,0.004,0.008,0.096,0.004,0.008,,,,,,
1256,,,,,,,,,,,,,,,,,,,0.036,0.,0.036
1261,,,,,,,1.431,0.002,1.429,,,,,,,,,,,,
1269,,,,0.616,0.,0.616,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,,,0.038,0.,0.038
1300,,,,0.665,0.,0.665,,,,,,,,,,,,,,,
1331,,,,0.697,0.,0.697,,,,,,,,,,,,,,,
1334,,,,,,,,,,,,,,,,,,,0.038,0.,0.038
1351,,,,,,,1.938,0.011,1.926,,,,,,,,,,,,
1362,,,,0.725,0.,0.725,,,,,,,,,,,,,,,
1365,,,,,,,,,,0.096,0.007,0.008,0.1,0.,0.014,,,,,,
1370,,,,0.701,0.,0.701,,,,,,,,,,,,,,,
1374,,,,,,,,,,,,,,,,,,,0.042,0.,0.042
1393,,,,0.76,0.,0.76,,,,,,,,,,,,,,,
1413,,,,,,,,,,,,,,,,,,,0.045,0.,0.045
1424,,,,0.767,0.,0.767,,,,,,,,,,,,,,,
1441,,,,,,,1.855,0.,1.855,,,,,,,,,,,,
1452,,,,,,,,,,,,,,,,,,,0.045,0.,0.045
1454,,,,,,,2.541,0.076,2.464,,,,,,,,,,,,
1479,,,,,,,,,,0.557,0.022,0.078,0.411,0.003,0.02,,,,,,
1491,,,,,,,,,,,,,,,,,,,0.051,0.,0.051
1530,,,,,,,,,,,,,,,,,,,0.051,0.,0.051
1531,,,,,,,2.144,0.,2.144,,,,,,,,,,,,
1566,,,,0.949,0.,0.948,,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,,,,,0.054,0.,0.054
1593,,,,,,,,,,0.116,0.003,0.017,0.107,0.003,0.015,,,,,,
1609,,,,,,,,,,,,,,,,,,,0.058,0.,0.058
1621,,,,,,,2.983,0.019,2.938,,,,,,,,,,,,
1648,,,,,,,,,,,,,,,,,,,0.059,0.,0.059
1687,,,,,,,,,,,,,,,,,,,0.062,0.,0.062
1706,,,,,,,,,,0.112,0.004,0.017,0.108,0.,0.021,,,,,,
1709,,,,1.117,0.,1.117,,,,,,,,,,,,,,,
1711,,,,,,,2.69,0.031,2.657,,,,,,,,,,,,
1726,,,,,,,,,,,,,,,,,,,0.065,0.,0.065
1765,,,,,,,,,,,,,,,,,,,0.067,0.,0.067
1801,,,,,,,2.955,0.031,2.923,,,,,,,,,,,,
1805,,,,,,,,,,,,,,,,,,,0.073,0.,0.073
1820,,,,,,,,,,0.117,0.007,0.021,0.11,0.003,0.018,,,,,,
1826,,,,1.193,0.007,1.185,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,0.073,0.,0.073
1851,,,,1.267,0.001,1.266,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,,,,,0.078,0.,0.078
1922,,,,,,,,,,,,,,,,,,,0.079,0.002,0.076
1933,,,,,,,,,,0.111,0.004,0.02,0.119,0.007,0.02,,,,,,
1961,,,,,,,,,,,,,,,,,,,0.084,0.,0.084
1993,,,,2.005,0.02,1.985,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,0.085,0.,0.085
2013,,,,,,,,,,,,,,,,,,,0.079,0.,0.079
2040,,,,,,,,,,,,,,,,,,,0.089,0.,0.089
2047,,,,,,,,,,0.117,0.004,0.021,0.12,0.003,0.023,,,,,,
2079,,,,,,,,,,,,,,,,,,,0.106,0.,0.106
2118,,,,,,,,,,,,,,,,,,,0.097,0.,0.097
2136,,,,1.696,0.,1.696,,,,,,,,,,,,,,,
2157,,,,,,,,,,,,,,,,,,,0.097,0.,0.097
2161,,,,,,,5.139,0.026,5.112,0.112,0.004,0.025,0.126,0.004,0.032,,,,,,
2197,,,,,,,,,,,,,,,,,,,0.107,0.,0.107
2236,,,,,,,,,,,,,,,,,,,0.107,0.003,0.103
2274,,,,,,,,,,0.117,0.004,0.026,0.114,0.,0.029,,,,,,
2275,,,,,,,,,,,,,,,,,,,0.111,0.,0.111
2278,,,,1.884,0.,1.884,,,,,,,,,,,,,,,
2282,,,,1.852,0.,1.852,,,,,,,,,,,,,,,
2314,,,,,,,,,,,,,,,,,,,0.114,0.,0.114
2353,,,,,,,,,,,,,,,,,,,0.118,0.,0.118
2388,,,,,,,,,,0.116,0.003,0.031,0.119,0.003,0.031,,,,,,
2392,,,,,,,,,,,,,,,,,,,0.121,0.,0.121
2420,,,,2.188,0.009,2.176,,,,,,,,,,,,,,,
2432,,,,,,,,,,,,,,,,,,,0.131,0.,0.131
2471,,,,,,,,,,,,,,,,,,,0.132,0.,0.132
2502,,,,,,,,,,0.122,0.003,0.036,0.124,0.,0.038,,,,,,
2510,,,,,,,,,,,,,,,,,,,0.143,0.,0.143
2521,,,,,,,5.703,0.,5.702,,,,,,,,,,,,
2549,,,,,,,,,,,,,,,,,,,0.137,0.,0.137
