param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,autorewrite-regression-cubic-sys,autorewrite-regression-cubic-user,rewrite!-regression-cubic-real,rewrite!-regression-cubic-sys,rewrite!-regression-cubic-user,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-sys,rewrite-strat(bottomup)-regression-cubic-user,rewrite-strat(topdown)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-sys,rewrite-strat(topdown)-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user,ssr-rewrite!-regression-cubic-real,ssr-rewrite!-regression-cubic-sys,ssr-rewrite!-regression-cubic-user
127,0,127,257,3,127,0.135,0.,0.135,0.117,0.,0.117,,,,0.124,0.,0.124,0.238,0.,0.238,0.192,0.,0.191
127,6,1,509,255,127,0.016,0.,0.016,0.01,0.,0.01,0.225,0.003,0.221,0.068,0.,0.068,0.109,0.,0.109,0.018,0.,0.018
128,0,128,259,3,128,,,,,,,,,,0.131,0.,0.131,,,,,,
129,0,129,261,3,129,,,,,,,,,,0.129,0.,0.129,0.266,0.,0.266,,,
129,1,43,265,7,129,0.073,0.,0.073,0.073,0.,0.073,,,,0.113,0.,0.113,0.202,0.,0.202,0.152,0.,0.152
130,0,130,263,3,130,0.1,0.,0.1,,,,,,,0.132,0.,0.132,,,,0.204,0.,0.204
131,0,131,265,3,131,,,,,,,,,,0.131,0.003,0.127,,,,,,
132,0,132,267,3,132,,,,,,,,,,0.142,0.003,0.138,,,,,,
132,1,44,271,7,132,,,,,,,0.32,0.,0.319,0.119,0.,0.119,,,,,,
133,0,133,269,3,133,0.124,0.,0.124,0.238,0.,0.238,,,,0.139,0.,0.139,,,,0.216,0.,0.216
133,2,19,281,15,133,0.054,0.,0.054,0.049,0.,0.049,,,,0.095,0.,0.095,0.182,0.,0.18,0.098,0.,0.098
134,0,134,271,3,134,,,,,,,,,,0.16,0.,0.16,,,,,,
135,0,135,273,3,135,,,,,,,,,,0.151,0.003,0.147,,,,,,
135,1,45,277,7,135,0.079,0.,0.079,0.085,0.,0.085,,,,0.125,0.,0.125,,,,0.167,0.,0.167
135,3,9,301,31,135,0.03,0.,0.03,0.048,0.,0.048,0.377,0.,0.376,0.08,0.,0.08,0.247,0.,0.247,0.065,0.,0.065
136,0,136,275,3,136,0.131,0.,0.131,,,,,,,0.15,0.003,0.146,,,,0.224,0.,0.224
137,0,137,277,3,137,,,,,,,,,,0.154,0.,0.154,,,,,,
138,0,138,279,3,138,,,,,,,,,,0.154,0.,0.154,,,,,,
138,1,46,283,7,138,,,,,,,,,,0.133,0.,0.133,,,,0.183,0.,0.183
