param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
221,1,221,,,,,,,,,,,,,,,,0.,0.,0.,,,,,,,,,
221,221,1,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,
224,1,224,0.624,0.,0.624,,,,,,,,,,0.164,0.,0.164,,,,,,,,,,,,
224,224,1,0.36,0.,0.36,,,,,,,,,,0.071,0.,0.071,,,,,,,,,,,,
234,1,234,,,,,,,,,,,,,0.158,0.,0.158,,,,,,,,,,,,
234,234,1,,,,,,,,,,,,,0.074,0.,0.074,,,,,,,,,,,,
239,1,239,,,,0.,0.,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
239,239,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
240,15,16,0.021,0.,0.021,0.,0.,0.,0.,0.,0.,,,,0.018,0.,0.018,,,,,,,,,,,,
245,1,245,,,,,,,,,,,,,0.194,0.,0.194,,,,,,,,,,,,
245,245,1,,,,,,,,,,,,,0.077,0.,0.077,,,,,,,,,,,,
247,1,247,0.671,0.,0.671,,,,,,,,,,,,,,,,,,,,,,,,
247,247,1,0.388,0.,0.388,,,,,,,,,,,,,,,,,,,,,,,,
255,1,255,,,,,,,,,,,,,0.214,0.,0.214,,,,,,,,,,,,
255,255,1,,,,,,,,,,,,,0.08,0.,0.08,,,,,,,,,,,,
257,1,257,,,,,,,,,,0.075,0.003,0.001,,,,0.001,0.,0.001,,,,,,,,,
257,257,1,,,,,,,,,,0.076,0.003,0.001,,,,0.001,0.,0.001,,,,,,,,,
269,1,269,0.928,0.,0.928,,,,,,,,,,,,,,,,,,,,,,,,
269,269,1,0.567,0.,0.567,,,,,,,,,,,,,,,,,,,,,,,,
272,16,17,0.026,0.,0.026,,,,,,,0.074,0.,0.004,,,,0.001,0.,0.001,,,,,,,,,
291,1,291,,,,,,,,,,,,,0.25,0.,0.25,,,,,,,,,,,,
291,291,1,,,,,,,,,,,,,0.13,0.,0.13,,,,,,,,,,,,
293,1,293,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,
293,293,1,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,
297,1,297,,,,0.,0.,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
297,297,1,,,,0.,0.,0.,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
306,17,18,,,,0.,0.,0.,0.,0.,0.,0.078,0.003,0.001,0.026,0.,0.026,0.001,0.,0.001,,,,,,,,,
307,1,307,,,,,,,,,,0.077,0.003,0.001,,,,,,,,,,,,,,,
307,307,1,,,,,,,,,,0.078,0.,0.005,,,,,,,,,,,,,,,
328,1,328,,,,,,,,,,,,,0.308,0.003,0.304,,,,,,,,,,,,
328,328,1,,,,,,,,,,,,,0.151,0.,0.151,,,,,,,,,,,,
329,1,329,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,
329,329,1,,,,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,
336,1,336,1.27,0.,1.27,,,,,,,,,,,,,,,,,,,,,,,,
336,336,1,0.756,0.,0.755,,,,,,,,,,,,,,,,,,,,,,,,
